Gear,Description,Category
432,229m nylon trammel net with 359mm mesh outer wall (#21) and 45mm mesh inner wall (#9).  Net used in MPA study.,Trammel net
434,245m nylon trammel net, inner wall 51mm mesh (#9 twine)
436,40m center-bag seine, 25mm stretch mesh knotted nylon (#9 twine)
5,9.1-m center bag seine, 1.2-m deep
800,Hook and line,Miscellaneous
801,Castnet,Miscellaneous
802,Electrofishing,Miscellaneous
803,Hook & Line, but recorded on standard FIM data sheets - not H&L data sheet
810,1.0m Plankton net with 500?m mesh.  Used from 1981 – 1993 during McMichael red drum study.,Plankton Net
811,1.0m Plankton net with 1mm mesh. Used from 1981 – 1993 during McMichael red drum study.,Plankton Net
812,1.0m Plankton net with 1mm mesh on bottom sled. Used from 1981 – 1993 during McMichael red drum study.,Plankton Net
813,1.0m Bottom sled, 0.6m deep with 1mm mesh. Used from 1981 – 1993 during McMichael red drum study.
814,1.0m2 Push net with 1mm mesh. Used from 1981 – 1993 during McMichael red drum study.,Push Net
816,Dip net,Dip Net
817,Offshore purse seine with spotter planes to collect adult Red Drum,Purse Seine
850,Fish kill—Any fish found dead in water that was not caught by a biologist or angler.  Includes red tides, cold kills
211,46m gillnet with six panels: 7.6m of  51mm, 45mm
212,46m gillnet with six panels: 7.6m of  51mm, 45mm
209,198m large mesh gillnet with five panels: 15m of 50mm mesh (#139 twine), and  46m each of 75mm
