"","Month","Year","Region","Station","Latitude","Longitude","Replicate","Species","BraunBlanquet","Scallops","Urchins","Grass.or.Algae","Total.SAV","Total.Grass","Total.macroAlgae","Epipyhte.Denstiy","Blade_Length_Avg_cm","Blade_Width_Avg_cm","Shoots.per.m2","Sediment.type"
"17","September",2006,"St Marks","SMAR2",30.06131,-84.15289,2,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"18","September",2006,"St Marks","SMAR2",30.06131,-84.15289,3,"TTES","3",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"19","September",2006,"St Marks","SMAR2",30.06131,-84.15289,3,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"20","September",2006,"St Marks","SMAR2",30.06131,-84.15289,3,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"21","September",2006,"St Marks","SMAR2",30.06131,-84.15289,4,"TTES","4",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"22","September",2006,"St Marks","SMAR2",30.06131,-84.15289,4,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"23","September",2006,"St Marks","SMAR2",30.06131,-84.15289,4,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"24","September",2006,"St Marks","SMAR2",30.06131,-84.15289,4,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"25","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,1,"TTES","4",NA,NA,"Seagrass","5","5",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"26","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,1,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"27","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,2,"TTES","4",NA,NA,"Seagrass","5","5",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"28","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,2,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"29","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,2,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"30","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,3,"TTES","4",NA,NA,"Seagrass","5","5",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"31","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,3,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"32","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,3,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"33","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,4,"TTES","4",NA,NA,"Seagrass","5","5",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"34","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,4,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"35","September",2006,"St Marks","SMAR3 ",30.06414,-84.13629,4,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"36","September",2006,"St Marks","SMAR4",30.065,-84.11961,1,"TTES","5",NA,NA,"Seagrass","5","5","1","MODERATE",NA,NA,NA,"SILT/SHELL"
"37","September",2006,"St Marks","SMAR4",30.065,-84.11961,1,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"38","September",2006,"St Marks","SMAR4",30.065,-84.11961,2,"TTES","5",NA,NA,"Seagrass","5","5","1","MODERATE",NA,NA,NA,"SILT/SHELL"
"39","September",2006,"St Marks","SMAR4",30.065,-84.11961,2,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"40","September",2006,"St Marks","SMAR4",30.065,-84.11961,2,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"41","September",2006,"St Marks","SMAR4",30.065,-84.11961,3,"TTES","5",NA,NA,"Seagrass","5","5","1","MODERATE",NA,NA,NA,"SILT/SHELL"
"42","September",2006,"St Marks","SMAR4",30.065,-84.11961,3,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"43","September",2006,"St Marks","SMAR4",30.065,-84.11961,4,"TTES","4",NA,NA,"Seagrass","5","5","3","MODERATE",NA,NA,NA,"SILT/SHELL"
"44","September",2006,"St Marks","SMAR4",30.065,-84.11961,4,"HINC","3",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"45","September",2006,"St Marks","SMAR5",30.06376,-84.10274,1,"TTES","4",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SILT/SHELL"
"46","September",2006,"St Marks","SMAR5",30.06376,-84.10274,1,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"47","September",2006,"St Marks","SMAR5",30.06376,-84.10274,1,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"48","September",2006,"St Marks","SMAR5",30.06376,-84.10274,2,"TTES","4",NA,NA,"Seagrass","4","4","1","MODERATE",NA,NA,NA,"SAND/SILT/SHELL"
"49","September",2006,"St Marks","SMAR5",30.06376,-84.10274,2,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"50","September",2006,"St Marks","SMAR5",30.06376,-84.10274,2,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"51","September",2006,"St Marks","SMAR5",30.06376,-84.10274,2,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"52","September",2006,"St Marks","SMAR5",30.06376,-84.10274,3,"TTES","4",NA,NA,"Seagrass","4","4","1","MODERATE",NA,NA,NA,"SAND/SILT/SHELL"
"53","September",2006,"St Marks","SMAR5",30.06376,-84.10274,3,"SFIL","4",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"54","September",2006,"St Marks","SMAR5",30.06376,-84.10274,3,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"55","September",2006,"St Marks","SMAR5",30.06376,-84.10274,3,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"56","September",2006,"St Marks","SMAR5",30.06376,-84.10274,4,"TTES","4",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SAND/SILT/SHELL"
"57","September",2006,"St Marks","SMAR5",30.06376,-84.10274,4,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"58","September",2006,"St Marks","SMAR5",30.06376,-84.10274,4,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"59","September",2006,"St Marks","SMAR6",30.06156,-84.08627,1,"TTES","3",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SAND/MUD/SHELL"
"60","September",2006,"St Marks","SMAR6",30.06156,-84.08627,1,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"61","September",2006,"St Marks","SMAR6",30.06156,-84.08627,1,"DRIFT","3",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"62","September",2006,"St Marks","SMAR6",30.06156,-84.08627,2,"TTES","4",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SAND/MUD/SHELL"
"63","September",2006,"St Marks","SMAR6",30.06156,-84.08627,2,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"64","September",2006,"St Marks","SMAR6",30.06156,-84.08627,2,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"65","September",2006,"St Marks","SMAR6",30.06156,-84.08627,3,"TTES","3",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SAND/MUD/SHELL"
"66","September",2006,"St Marks","SMAR6",30.06156,-84.08627,3,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"67","September",2006,"St Marks","SMAR6",30.06156,-84.08627,3,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"68","September",2006,"St Marks","SMAR6",30.06156,-84.08627,4,"TTES","3",NA,NA,"Seagrass","4","4",NA,"MODERATE",NA,NA,NA,"SAND/MUD/SHELL"
"69","September",2006,"St Marks","SMAR6",30.06156,-84.08627,4,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"70","September",2006,"St Marks","SMAR6",30.06156,-84.08627,4,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"71","September",2006,"St Marks","SMAR7",30.06176,-84.06987,1,"TTES","1",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"72","September",2006,"St Marks","SMAR7",30.06176,-84.06987,1,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"73","September",2006,"St Marks","SMAR7",30.06176,-84.06987,1,"HENG","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"74","September",2006,"St Marks","SMAR7",30.06176,-84.06987,2,"SFIL","1",NA,NA,"Seagrass","1","1",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"75","September",2006,"St Marks","SMAR7",30.06176,-84.06987,3,"TTES","1",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"76","September",2006,"St Marks","SMAR7",30.06176,-84.06987,3,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"77","September",2006,"St Marks","SMAR7",30.06176,-84.06987,3,"HENG","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"78","September",2006,"St Marks","SMAR7",30.06176,-84.06987,4,"TTES","1",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"79","September",2006,"St Marks","SMAR7",30.06176,-84.06987,4,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"80","September",2006,"St Marks","SMAR7",30.06176,-84.06987,4,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"81","September",2006,"St Marks","SMAR8",30.06325,-84.05243,1,"TTES","1",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"82","September",2006,"St Marks","SMAR8",30.06325,-84.05243,1,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"83","September",2006,"St Marks","SMAR8",30.06325,-84.05243,1,"HENG","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"84","September",2006,"St Marks","SMAR8",30.06325,-84.05243,2,"TTES","2",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"85","September",2006,"St Marks","SMAR8",30.06325,-84.05243,2,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"86","September",2006,"St Marks","SMAR8",30.06325,-84.05243,2,"HENG","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"87","September",2006,"St Marks","SMAR8",30.06325,-84.05243,2,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"88","September",2006,"St Marks","SMAR8",30.06325,-84.05243,3,"TTES","2",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"89","September",2006,"St Marks","SMAR8",30.06325,-84.05243,3,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"90","September",2006,"St Marks","SMAR8",30.06325,-84.05243,3,"HENG","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"91","September",2006,"St Marks","SMAR8",30.06325,-84.05243,4,"TTES","2",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SAND/MUD"
"92","September",2006,"St Marks","SMAR8",30.06325,-84.05243,4,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"93","September",2006,"St Marks","SMAR8",30.06325,-84.05243,4,"HENG","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"94","September",2006,"St Marks","SMAR8",30.06325,-84.05243,4,"DRIFT","4",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"95","September",2006,"St Marks","SMAR9",30.07262,-84.03893,1,"SFIL","4",NA,NA,"Seagrass","5","5","1","LIGHT",NA,NA,NA,"SAND/MUD"
"96","September",2006,"St Marks","SMAR9",30.07262,-84.03893,1,"TTES","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"97","September",2006,"St Marks","SMAR9",30.07262,-84.03893,1,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"98","September",2006,"St Marks","SMAR9",30.07262,-84.03893,1,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"99","September",2006,"St Marks","SMAR9",30.07262,-84.03893,2,"TTES","2",NA,NA,"Seagrass","4","4","1","LIGHT",NA,NA,NA,"SAND/MUD"
"100","September",2006,"St Marks","SMAR9",30.07262,-84.03893,2,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"101","September",2006,"St Marks","SMAR9",30.07262,-84.03893,2,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"102","September",2006,"St Marks","SMAR9",30.07262,-84.03893,2,"HENG","4",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"103","September",2006,"St Marks","SMAR9",30.07262,-84.03893,3,"TTES","2",NA,NA,"Seagrass","4","4","1","LIGHT",NA,NA,NA,"SAND/MUD"
"104","September",2006,"St Marks","SMAR9",30.07262,-84.03893,3,"SFIL","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"105","September",2006,"St Marks","SMAR9",30.07262,-84.03893,3,"HENG","4",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"106","September",2006,"St Marks","SMAR9",30.07262,-84.03893,3,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"107","September",2006,"St Marks","SMAR9",30.07262,-84.03893,4,"TTES","2",NA,NA,"Seagrass","4","4","1","LIGHT",NA,NA,NA,"SAND/MUD"
"108","September",2006,"St Marks","SMAR9",30.07262,-84.03893,4,"SFIL","4",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"109","September",2006,"St Marks","SMAR9",30.07262,-84.03893,4,"HENG","3",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"110","September",2006,"St Marks","SMAR9",30.07262,-84.03893,4,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"111","September",2006,"St Marks","SMAR10",30.07518,-84.02169,1,"TTES","1",NA,NA,"Seagrass","5","5",NA,"LIGHT",NA,NA,NA,"SILT/MUD"
"112","September",2006,"St Marks","SMAR10",30.07518,-84.02169,1,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"113","September",2006,"St Marks","SMAR10",30.07518,-84.02169,1,"HENG","5",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"114","September",2006,"St Marks","SMAR10",30.07518,-84.02169,2,"SFIL","3",NA,NA,"Seagrass","4","4",NA,"LIGHT",NA,NA,NA,"SILT/MUD"
"115","September",2006,"St Marks","SMAR10",30.07518,-84.02169,2,"HENG","4",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"116","September",2006,"St Marks","SMAR10",30.07518,-84.02169,3,"HWRI","1",NA,NA,"Seagrass","2","2",NA,"LIGHT",NA,NA,NA,"SILT/MUD"
"117","September",2006,"St Marks","SMAR10",30.07518,-84.02169,3,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"118","September",2006,"St Marks","SMAR10",30.07518,-84.02169,4,"HENG","2",NA,NA,"Seagrass","2","2",NA,"LIGHT",NA,NA,NA,"SILT/MUD"
"119","September",2006,"St Marks","SMAR10",30.07518,-84.02169,4,"HWRI","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"120","September",2006,"St Marks","SMAR10",30.07518,-84.02169,4,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"121","September",2006,"St Marks","SMAR11",30.08974,-84.04982,1,"SFIL","2",NA,NA,"Seagrass","5","2","4","LIGHT",NA,NA,NA,"SAND/MUD/SHELL"
"122","September",2006,"St Marks","SMAR11",30.08974,-84.04982,1,"PDUM","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"123","September",2006,"St Marks","SMAR11",30.08974,-84.04982,1,"PCAP","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"124","September",2006,"St Marks","SMAR11",30.08974,-84.04982,1,"CPAS","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"125","September",2006,"St Marks","SMAR11",30.08974,-84.04982,1,"CPRO","3",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"126","September",2006,"St Marks","SMAR11",30.08974,-84.04982,1,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"127","September",2006,"St Marks","SMAR11",30.08974,-84.04982,2,"SFIL","1",NA,NA,"Seagrass","5","2","4","LIGHT",NA,NA,NA,"SAND/MUD/SHELL"
"128","September",2006,"St Marks","SMAR11",30.08974,-84.04982,2,"PDUM","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"129","September",2006,"St Marks","SMAR11",30.08974,-84.04982,2,"CPAS","3",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"130","September",2006,"St Marks","SMAR11",30.08974,-84.04982,2,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"131","September",2006,"St Marks","SMAR11",30.08974,-84.04982,2,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"132","September",2006,"St Marks","SMAR11",30.08974,-84.04982,2,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"133","September",2006,"St Marks","SMAR11",30.08974,-84.04982,3,"TTES","1",NA,NA,"Seagrass","5","2","4","LIGHT",NA,NA,NA,"SAND/MUD/SHELL"
"134","September",2006,"St Marks","SMAR11",30.08974,-84.04982,3,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"135","September",2006,"St Marks","SMAR11",30.08974,-84.04982,3,"CPAS","4",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"136","September",2006,"St Marks","SMAR11",30.08974,-84.04982,3,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"137","September",2006,"St Marks","SMAR11",30.08974,-84.04982,3,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"138","September",2006,"St Marks","SMAR11",30.08974,-84.04982,3,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"139","September",2006,"St Marks","SMAR11",30.08974,-84.04982,4,"TTES","1",NA,NA,"Seagrass","5","2","4","CLEAN",NA,NA,NA,"SAND/MUD/SHELL"
"140","September",2006,"St Marks","SMAR11",30.08974,-84.04982,4,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"141","September",2006,"St Marks","SMAR11",30.08974,-84.04982,4,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"142","September",2006,"St Marks","SMAR11",30.08974,-84.04982,4,"CPAS","4",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"143","September",2006,"St Marks","SMAR11",30.08974,-84.04982,4,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"144","September",2006,"St Marks","SMAR12",30.07838,-84.06923,1,"TTES","4",NA,NA,"Seagrass","4","4","1","LIGHT",NA,NA,NA,"SAND/MUD"
"145","September",2006,"St Marks","SMAR12",30.07838,-84.06923,1,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"146","September",2006,"St Marks","SMAR12",30.07838,-84.06923,1,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"147","September",2006,"St Marks","SMAR12",30.07838,-84.06923,1,"CPAS","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"148","September",2006,"St Marks","SMAR12",30.07838,-84.06923,1,"DRIFT","2",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"149","September",2006,"St Marks","SMAR12",30.07838,-84.06923,2,"TTES","5",NA,NA,"Seagrass","5","5","1","LIGHT",NA,NA,NA,"SAND/MUD"
"150","September",2006,"St Marks","SMAR12",30.07838,-84.06923,2,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"151","September",2006,"St Marks","SMAR12",30.07838,-84.06923,2,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"152","September",2006,"St Marks","SMAR12",30.07838,-84.06923,2,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"153","September",2006,"St Marks","SMAR12",30.07838,-84.06923,3,"TTES","5",NA,NA,"Seagrass","5","5","1","LIGHT",NA,NA,NA,"SAND/MUD"
"154","September",2006,"St Marks","SMAR12",30.07838,-84.06923,3,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"155","September",2006,"St Marks","SMAR12",30.07838,-84.06923,3,"HINC","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"156","September",2006,"St Marks","SMAR12",30.07838,-84.06923,3,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"157","September",2006,"St Marks","SMAR12",30.07838,-84.06923,3,"CPAS","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"158","September",2006,"St Marks","SMAR12",30.07838,-84.06923,3,"DRIFT","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"159","September",2006,"St Marks","SMAR12",30.07838,-84.06923,4,"SFIL","2",NA,NA,"Seagrass","5","2","3","LIGHT",NA,NA,NA,"SAND/MUD"
"160","September",2006,"St Marks","SMAR12",30.07838,-84.06923,4,"HWRI","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"161","September",2006,"St Marks","SMAR12",30.07838,-84.06923,4,"HINC","3",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"162","September",2006,"St Marks","SMAR12",30.07838,-84.06923,4,"CPRO","1",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"163","September",2006,"St Marks","SMAR13",30.0747,-84.08907,1,"TTES","3",NA,NA,"Seagrass","3","3",NA,"MODERATE",NA,NA,NA,"SILT"
"164","September",2006,"St Marks","SMAR13",30.0747,-84.08907,1,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"165","September",2006,"St Marks","SMAR13",30.0747,-84.08907,1,"DRIFT","4",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"166","September",2006,"St Marks","SMAR13",30.0747,-84.08907,2,"TTES","3",NA,NA,"Seagrass","3","3",NA,"LIGHT",NA,NA,NA,"SILT"
"167","September",2006,"St Marks","SMAR13",30.0747,-84.08907,2,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"168","September",2006,"St Marks","SMAR13",30.0747,-84.08907,2,"DRIFT","4",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"169","September",2006,"St Marks","SMAR13",30.0747,-84.08907,3,"TTES","3",NA,NA,"Seagrass","3","2",NA,"MODERATE",NA,NA,NA,"SILT"
"170","September",2006,"St Marks","SMAR13",30.0747,-84.08907,3,"SFIL","1",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
"171","September",2006,"St Marks","SMAR13",30.0747,-84.08907,3,"DRIFT","3",NA,NA,"Algae",NA,NA,NA,NA,NA,NA,NA,""
"172","September",2006,"St Marks","SMAR13",30.0747,-84.08907,4,"TTES","3",NA,NA,"Seagrass","3","2",NA,"MODERATE",NA,NA,NA,"SILT"
"173","September",2006,"St Marks","SMAR13",30.0747,-84.08907,4,"SFIL","2",NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA,""
