"","Reference","Sampling_Date","Gear_Description","Longitude","Latitude","Scientificname","Commonname","Number_pertow","Number_per100sqm","BottomVegCover","Vegetated","TH_Coverage","SY_Coverage","HA_Coverage"
"20","ANM2005030204",2005-03-15,"21.3m seine",-82.798067,28.174717,"Callinectes sapidus","Blue Crab",4,5.88235294117647,20,1,0,20,0
"21","ANM2005030205",2005-03-15,"21.3m seine",-82.801233,28.17675,"Callinectes sapidus","Blue Crab",3,4.41176470588235,0,0,0,0,0
"22","ANM2005050109",2005-05-10,"6.1m otter trawl",-82.74985,28.156217,"Callinectes sapidus","Blue Crab",2,0.00224860586436409,0,0,0,0,0
"23","ANM2005050201",2005-05-10,"6.1m otter trawl",-82.781533,28.167383,"Callinectes sapidus","Blue Crab",2,0.00224860586436409,0,0,0,0,0
"24","ANM2005050209",2005-05-10,"6.1m otter trawl",-82.810067,28.17805,"Callinectes sapidus","Blue Crab",2,0.00224860586436409,0,0,0,0,0
"25","ANM2005060105",2005-06-07,"21.3m seine",-82.724967,28.169933,"Callinectes sapidus","Blue Crab",4,5.88235294117647,0,0,0,0,0
"26","ANM2005060206",2005-06-07,"21.3m seine",-82.793433,28.172683,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"27","ANM2005060209",2005-06-07,"6.1m otter trawl",-82.8062,28.169183,"Callinectes sapidus","Blue Crab",1,0.00122651228965314,100,1,100,0,0
"28","ANM2005070208",2005-07-14,"21.3m seine",-82.76635,28.155967,"Callinectes sapidus","Blue Crab",5,7.35294117647059,35,1,0,0,35
"29","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"30","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"31","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"32","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"33","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"34","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"35","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"36","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"37","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"38","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"39","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"40","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"41","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"42","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"43","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"44","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"45","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"46","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"47","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"48","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"49","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"50","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"51","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"52","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"53","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"54","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"55","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"56","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"57","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"58","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"59","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"60","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"61","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"62","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"63","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"64","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"65","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"66","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"67","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"68","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"69","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"70","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"71","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"72","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"73","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"74","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"75","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"76","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"77","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"78","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"79","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"80","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"81","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"82","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"83","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"84","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"85","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"86","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"87","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"88","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"89","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"90","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"91","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"92","ANM2005080109",2005-08-18,"6.1m otter trawl",-82.73705,28.164917,"Callinectes sapidus","Blue Crab",3,0.00367953686895943,0,0,0,0,0
"93","ANM2005080207",2005-08-18,"21.3m seine",-82.80885,28.175717,"Callinectes sapidus","Blue Crab",1,1.47058823529412,0,0,0,0,0
"94","ANM2005090101",2005-09-14,"6.1m otter trawl",-82.811033,28.172717,"Callinectes sapidus","Blue Crab",2,0.00337290879654614,100,1,0,100,0
"95","APM1998042704",1998-04-27,"21.3m seine",-84.964333,29.728667,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"96","APM1998050702",1998-05-07,"21.3m seine",-84.655,29.844833,"Callinectes sapidus","Blue Crab",4,2.85714285714286,0,0,0,0,0
"97","APM1998050705",1998-05-07,"21.3m seine",-84.5655,29.875667,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"98","APM1998052201",1998-05-22,"183m seine",-85.203833,29.681667,"Callinectes sapidus","Blue Crab",5,0.121359223300971,0,0,0,0,0
"99","APM1998052202",1998-05-22,"183m seine",-85.1985,29.682833,"Menippe mercenaria","Florida Stone Crab",1,0.0242718446601942,0,0,0,0,0
"100","APM1998052204",1998-05-22,"183m seine",-84.981833,29.61,"Callinectes sapidus","Blue Crab",5,0.121359223300971,0,0,0,0,0
"101","APM1998052701",1998-05-27,"183m seine",-84.957833,29.7275,"Callinectes sapidus","Blue Crab",7,0.169902912621359,0,0,0,0,0
"102","APM1998052801",1998-05-28,"183m seine",-84.7,29.764667,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,40,1,0,0,40
"103","APM1998052802",1998-05-28,"183m seine",-84.610833,29.869833,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,20,1,0,0,20
"104","APM1998060302",1998-06-03,"21.3m seine",-85.081833,29.718167,"Callinectes sapidus","Blue Crab",6,4.28571428571429,0,0,0,0,0
"105","APM1998060308",1998-06-03,"21.3m seine",-84.969667,29.724833,"Callinectes sapidus","Blue Crab",4,2.85714285714286,0,0,0,0,0
"106","APM1998060403",1998-06-04,"21.3m seine",-84.764667,29.785167,"Callinectes sapidus","Blue Crab",29,20.7142857142857,100,1,0,0,100
"107","APM1998060404",1998-06-04,"21.3m seine",-84.7565,29.783833,"Callinectes sapidus","Blue Crab",7,5,0,0,0,0,0
"108","APM1998060901",1998-06-09,"183m seine",-84.825,29.7565,"Callinectes sapidus","Blue Crab",4,0.0970873786407767,0,0,0,0,0
"109","APM1998060903",1998-06-09,"183m seine",-84.826667,29.678,"Callinectes sapidus","Blue Crab",4,0.0970873786407767,0,0,0,0,0
"110","APM1998061001",1998-06-10,"183m seine",-84.715667,29.746667,"Callinectes sapidus","Blue Crab",4,0.0970873786407767,0,0,0,0,0
"111","APM1998061103",1998-06-11,"183m seine",-85.068,29.609,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"112","APM1998061104",1998-06-11,"183m seine",-84.9685,29.622,"Callinectes sapidus","Blue Crab",3,0.0728155339805825,10,1,0,0,10
"113","APM1998062504",1998-06-25,"183m seine",-84.8935,29.722667,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,0,0,0,0,0
"114","APM1998070603",1998-07-06,"183m seine",-85.094167,29.685,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"115","APM1998070701",1998-07-07,"183m seine",-84.873,29.796833,"Callinectes sapidus","Blue Crab",233,5.65533980582524,30,1,0,0,0
"116","APM1998070702",1998-07-07,"183m seine",-84.886833,29.656667,"Callinectes sapidus","Blue Crab",9,0.218446601941748,0,0,0,0,0
"117","APM1998070703",1998-07-07,"183m seine",-84.918333,29.650167,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"118","APM1998070704",1998-07-07,"183m seine",-85.002,29.712833,"Callinectes sapidus","Blue Crab",11,0.266990291262136,75,1,0,0,0
"119","APM1998071406",1998-07-14,"21.3m seine",-84.902167,29.728167,"Callinectes sapidus","Blue Crab",4,2.85714285714286,0,0,0,0,0
"120","APM1998071408",1998-07-14,"21.3m seine",-84.99,29.7155,"Callinectes sapidus","Blue Crab",4,2.85714285714286,100,1,0,100,0
"121","APM1998071502",1998-07-15,"21.3m seine",-84.815167,29.681667,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"122","APM1998071504",1998-07-15,"21.3m seine",-84.742333,29.726833,"Callinectes sapidus","Blue Crab",5,3.57142857142857,30,1,0,0,30
"123","APM1998081302",1998-08-13,"21.3m seine",-85.169333,29.684167,"Callinectes sapidus","Blue Crab",2,1.42857142857143,0,0,0,0,0
"124","APM1998081303",1998-08-13,"21.3m seine",-84.893833,29.7235,"Callinectes sapidus","Blue Crab",4,2.85714285714286,0,0,0,0,0
"125","APM1998081304",1998-08-13,"21.3m seine",-84.899333,29.7415,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"126","APM1998081902",1998-08-19,"183m seine",-84.911667,29.7825,"Callinectes sapidus","Blue Crab",6,0.145631067961165,100,1,0,0,0
"127","APM1998082404",1998-08-24,"183m seine",-84.890833,29.722,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"128","APM1998082405",1998-08-24,"183m seine",-84.9375,29.632667,"Callinectes sapidus","Blue Crab",5,0.121359223300971,0,0,0,0,0
"129","APM1998082502",1998-08-25,"183m seine",-84.698667,29.8235,"Callinectes sapidus","Blue Crab",12,0.29126213592233,0,0,0,0,0
"130","APM1998082503",1998-08-25,"183m seine",-84.677667,29.830167,"Callinectes sapidus","Blue Crab",3,0.0728155339805825,0,0,0,0,0
"131","APM1998082504",1998-08-25,"183m seine",-84.6475,29.784333,"Callinectes sapidus","Blue Crab",3,0.0728155339805825,50,1,0,0,25
"132","APM1998082505",1998-08-25,"183m seine",-84.643833,29.848667,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,100,1,10,0,90
"133","APM1998082602",1998-08-26,"183m seine",-84.428667,29.907167,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"134","APM1998090904",1998-09-09,"183m seine",-84.892333,29.759,"Callinectes sapidus","Blue Crab",51,1.2378640776699,20,1,0,0,20
"135","APM1998090905",1998-09-09,"183m seine",-84.885667,29.768,"Callinectes sapidus","Blue Crab",49,1.18932038834951,0,0,0,0,0
"136","APM1998090907",1998-09-09,"21.3m seine",-84.8595,29.793167,"Callinectes sapidus","Blue Crab",28,20,0,0,0,0,0
"137","APM1998091501",1998-09-15,"183m seine",-85.1955,29.682333,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"138","APM1998091503",1998-09-15,"183m seine",-85.138667,29.686,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"139","APM1998092106",1998-09-21,"21.3m seine",-84.614833,29.866333,"Callinectes sapidus","Blue Crab",1,0.714285714285714,90,1,0,0,90
"140","APM1998092201",1998-09-22,"183m seine",-84.725333,29.739667,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,0,0,0,0,0
"141","APM1998092203",1998-09-22,"183m seine",-84.8455,29.751,"Menippe mercenaria","Florida Stone Crab",1,0.0242718446601942,0,0,0,0,0
"142","APM1998092205",1998-09-22,"183m seine",-84.688333,29.829833,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,0,0,0,0,0
"143","APM1998092205",1998-09-22,"183m seine",-84.688333,29.829833,"Menippe mercenaria","Florida Stone Crab",1,0.0242718446601942,0,0,0,0,0
"144","APM1998092301",1998-09-23,"183m seine",-84.647167,29.785667,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,70,1,0,35,35
"145","APM1998092303",1998-09-23,"183m seine",-84.586667,29.883,"Callinectes sapidus","Blue Crab",12,0.29126213592233,95,1,47.5,0,47.5
"146","APM1998100201",1998-10-02,"21.3m seine",-85.093833,29.641333,"Callinectes sapidus","Blue Crab",9,6.42857142857143,0,0,0,0,0
"147","APM1998102105",1998-10-21,"183m seine",-84.842667,29.752667,"Callinectes sapidus","Blue Crab",3,0.0728155339805825,0,0,0,0,0
"148","APM1998102603",1998-10-26,"183m seine",-84.449167,29.9275,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"149","APM1998110403",1998-11-04,"183m seine",-84.649833,29.7825,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"150","APM1998110404",1998-11-04,"183m seine",-84.654833,29.8315,"Menippe spp.","Stone Crab",1,0.0242718446601942,0,0,0,0,0
"151","APM1998110904",1998-11-09,"183m seine",-85.134167,29.687167,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,0,0,0,0,0
"152","APM1998110906",1998-11-09,"21.3m seine",-85.0215,29.709667,"Callinectes sapidus","Blue Crab",6,4.28571428571429,0,0,0,0,0
"153","APM1998111001",1998-11-10,"183m seine",-84.858667,29.800167,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"154","APM1998111202",1998-11-12,"183m seine",-85.079667,29.674333,"Callinectes sapidus","Blue Crab",6,0.145631067961165,0,0,0,0,0
"155","APM1998111207",1998-11-12,"21.3m seine",-84.879833,29.664,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"156","APM1998120102",1998-12-01,"183m seine",-84.983833,29.6085,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,10,1,0,0,10
"157","APM1998121404",1998-12-14,"21.3m seine",-84.955,29.743667,"Callinectes sapidus","Blue Crab",3,2.14285714285714,0,0,0,0,0
"158","APM1998122203",1998-12-22,"183m seine",-84.428833,29.907,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"159","APM1999010401",1999-01-04,"21.3m seine",-84.685833,29.8305,"Callinectes sapidus","Blue Crab",2,1.42857142857143,0,0,0,0,0
"160","APM1999010402",1999-01-04,"21.3m seine",-84.714,29.814833,"Callinectes sapidus","Blue Crab",10,7.14285714285714,0,0,0,0,0
"161","APM1999010805",1999-01-08,"21.3m seine",-85.217833,29.680667,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"162","APM1999012502",1999-01-25,"183m seine",-84.709333,29.752667,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,5,1,0,0,5
"163","APM1999020901",1999-02-09,"183m seine",-84.934,29.633667,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,0,0,0,0,0
"164","APM1999020902",1999-02-09,"183m seine",-84.945333,29.625333,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,0,0,0,0,0
"165","APM1999021201",1999-02-12,"183m seine",-85.2025,29.682333,"Callinectes sapidus","Blue Crab",6,0.145631067961165,0,0,0,0,0
"166","APM1999021203",1999-02-12,"21.3m seine",-85.1495,29.6815,"Callinectes sapidus","Blue Crab",2,1.42857142857143,0,0,0,0,0
"167","APM1999021801",1999-02-18,"183m seine",-84.609833,29.87,"Callinectes sapidus","Blue Crab",3,0.0728155339805825,0,0,0,0,0
"168","APM1999030302",1999-03-03,"21.3m seine",-84.6545,29.836333,"Callinectes similis","Lesser Blue Crab",2,1.42857142857143,0,0,0,0,0
"169","APM1999031601",1999-03-16,"21.3m seine",-84.892,29.753833,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"170","APM1999031602",1999-03-16,"21.3m seine",-84.921667,29.762833,"Callinectes sapidus","Blue Crab",2,1.42857142857143,80,1,0,0,80
"171","APM1999032201",1999-03-22,"21.3m seine",-84.97,29.729333,"Callinectes sapidus","Blue Crab",1,0.714285714285714,25,1,0,0,25
"172","APM1999032202",1999-03-22,"183m seine",-84.963833,29.727333,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,10,1,0,0,10
"173","APM1999032303",1999-03-23,"183m seine",-85.2025,29.682167,"Callinectes sapidus","Blue Crab",2,0.0485436893203883,0,0,0,0,0
"174","APM1999032501",1999-03-25,"183m seine",-84.689667,29.829,"Callinectes sapidus","Blue Crab",10,0.242718446601942,0,0,0,0,0
"175","APM1999040804",1999-04-08,"183m seine",-84.97,29.6135,"Callinectes sapidus","Blue Crab",1,0.0242718446601942,40,1,0,0,40
"176","APM1999040805",1999-04-08,"21.3m seine",-85.006333,29.605167,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"177","APM1999041302",1999-04-13,"21.3m seine",-85.093167,29.684,"Callinectes sapidus","Blue Crab",2,1.42857142857143,0,0,0,0,0
"178","APM1999041303",1999-04-13,"183m seine",-85.123167,29.6885,"Callinectes sapidus","Blue Crab",3,0.0728155339805825,0,0,0,0,0
"179","APM1999041304",1999-04-13,"21.3m seine",-85.168167,29.6825,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"180","APM1999041903",1999-04-19,"183m seine",-84.8825,29.786833,"Callinectes sapidus","Blue Crab",3,0.0728155339805825,60,1,0,0,0
"181","APM1999050304",1999-05-03,"21.3m seine",-85.205833,29.694167,"Callinectes sapidus","Blue Crab",1,0.714285714285714,0,0,0,0,0
"182","APM1999050403",1999-05-04,"183m seine",-84.903333,29.735667,"Callinectes sapidus","Blue Crab",20,0.485436893203883,0,0,0,0,0
