"","NODCCODE","Commonname","183m seine","198m gillnet","21.3m seine","40m seine","6.1m otter trawl","61m seine","Family","Class","NODCCODE.1","Troph","Polar","Boreal","Temperate","Subtropical"
"15","8713050201","Spiny Butterfly Ray",4,NA,NA,NA,NA,NA,"Gymnuridae","Elasmobranchii","8713050201",4.5,0,-1,-4,-4
"16","8713050202","Smooth Butterfly Ray",1402,NA,76,NA,367,NA,"Gymnuridae","Elasmobranchii","8713050202",NA,0,-1,-2,-3
"17","8713050301","Yellow Stingray",NA,NA,1,NA,NA,NA,"Urotrygonidae","Elasmobranchii","8713050301",NA,0,-1,-1,-2
"18","8713070101","Spotted Eagle Ray",51,NA,NA,NA,NA,NA,"Myliobatidae","Elasmobranchii","8713070101",4.12,0,-2,-4,-14
"19","8713070301","Cownose Ray",374,NA,2,NA,NA,NA,"Myliobatidae","Elasmobranchii","8713070301",3.70666666666667,0,-1,-3,-3
"20","8713120101","Lesser Electric Ray",14,NA,NA,NA,NA,NA,"Narcinidae","Elasmobranchii","8713120101",NA,0,-1,-1,-1
"21","8729010105","Atlantic Sturgeon",NA,NA,NA,NA,1,NA,"Acipenseridae","Actinopterygii","8729010105",NA,0,-8,-13,-10
"22","8732010101","Longnose Gar",778,NA,112,3,61,15,"Lepisosteidae","Actinopterygii","8732010101",NA,0,-2,-5,-3
"23","8732010105","Florida Gar",385,NA,453,21,9,25,"Lepisosteidae","Actinopterygii","8732010105",NA,0,-1,-1,-1
"24","8732010201","Alligator Gar",1,NA,NA,NA,NA,NA,"Lepisosteidae","Actinopterygii","8732010201",NA,0,-1,-3,-4
"25","8734010101","Bowfin",10,NA,61,NA,1,NA,"Amiidae","Actinopterygii","8734010101",NA,0,-2,-7,-2
"26","8738010101","Ladyfish",27472,17,2265,5,1759,79,"Elopidae","Actinopterygii","8738010101",3.4825,0,-1,-3,-3
"27","8738010199","Malacho",NA,NA,39,NA,17,NA,"Elopidae","Actinopterygii","8738010199",NA,0,0,0,0
"28","8738020201","Tarpon",151,NA,21,5,1,24,"Megalopidae","Actinopterygii","8738020201",3.885,0,-2,-6,-5
"29","8739010101","Bonefish",241,NA,384,NA,26,NA,"Albulidae","Actinopterygii","8739010101",3.735,0,-2,-7,-9
"30","8741010101","American Eel",12,NA,55,2,39,1,"Anguillidae","Actinopterygii","8741010101",3.83,-1,-3,-12,-6
"31","8741130203","Sooty Eel",NA,NA,NA,NA,2,NA,"Ophichthidae","Actinopterygii","8741130203",NA,0,-1,-2,-2
"32","8741130802","Speckled Worm Eel",3,NA,55,NA,97,1,"Ophichthidae","Actinopterygii","8741130802",NA,0,-1,-2,-2
"33","8741131001","Shrimp Eel",NA,NA,NA,NA,13,NA,"Ophichthidae","Actinopterygii","8741131001",NA,0,-1,-2,-2
"34","8741131015","Palespotted Eel",NA,NA,NA,NA,2,NA,"Ophichthidae","Actinopterygii","8741131015",NA,0,-1,-1,-2
"35","8747010101","American Shad",16,NA,94,NA,16,NA,"Clupeidae","Actinopterygii","8747010101",3.38666666666667,-1,-7,-8,-4
"36","8747010102","Blueback Herring",16,NA,147,NA,5,NA,"Clupeidae","Actinopterygii","8747010102",3.108,0,-2,-6,-3
"37","8747010103","Hickory Shad",17,NA,52,NA,5,NA,"Clupeidae","Actinopterygii","8747010103",NA,0,-2,-3,-3
"38","8747010501","Gizzard Shad",3819,NA,687,223,102,70,"Clupeidae","Actinopterygii","8747010501",NA,0,-3,-8,-5
"39","8747010502","Threadfin Shad",980,NA,7351,334,801,12,"Clupeidae","Actinopterygii","8747010502",2.616,0,-3,-7,-7
"40","8747010701","Atlantic Thread Herring",19564,6,16987,21,336,NA,"Clupeidae","Actinopterygii","8747010701",3.192,0,-1,-3,-2
"41","8747010802","Redear Sardine",1,NA,68,NA,NA,NA,"Clupeidae","Actinopterygii","8747010802",3.46,0,-1,-1,-2
"42","8747010803","Scaled Sardine",28897,7,38423,2778,72,28,"Clupeidae","Actinopterygii","8747010803",3.486,0,-1,-1,-2
"43","8747010903","Shortband Herring",NA,NA,13,NA,NA,NA,"Clupeidae","Actinopterygii","8747010903",NA,0,-1,-1,-2
"44","8747011001","Spanish Sardine",70,NA,2337,2,93,NA,"Clupeidae","Actinopterygii","8747011001",3.2,0,-2,-6,-7
"45","8747020103","Silver Anchovy",NA,NA,3,NA,NA,NA,"Engraulidae","Actinopterygii","8747020103",NA,0,-1,-2,-2
"46","8747020201","Striped Anchovy",88,NA,81710,NA,10970,NA,"Engraulidae","Actinopterygii","8747020201",3.40333333333333,0,-1,-4,-2
"47","8747020202","Bay Anchovy",29,NA,1948167,2,273257,17,"Engraulidae","Actinopterygii","8747020202",3.0925,0,-1,-3,-2
"48","8747020203","Cuban Anchovy",1,NA,2744,NA,151,NA,"Engraulidae","Actinopterygii","8747020203",NA,0,-1,-1,-2
"49","8747020204","Bigeye Anchovy",NA,NA,9491,NA,NA,NA,"Engraulidae","Actinopterygii","8747020204",NA,0,-1,-1,-2
"50","8747020205","Dusky Anchovy",NA,NA,8944,NA,1320,NA,"Engraulidae","Actinopterygii","8747020205",NA,0,-1,-1,-2
"51","8747020304","Flat Anchovy",NA,NA,203,NA,NA,NA,"Engraulidae","Actinopterygii","8747020304",NA,0,-1,-1,-2
"52","8758010103","Chain Pickerel",9,NA,111,NA,NA,NA,"Esocidae","Actinopterygii","8758010103",NA,0,-1,-5,-2
"53","8762020101","Inshore Lizardfish",528,NA,1096,2,996,NA,"Synodontidae","Actinopterygii","8762020101",4.11142857142857,0,-1,-2,-2
"54","8762020301","Largescale Lizardfish",NA,NA,NA,NA,1,NA,"Synodontidae","Actinopterygii","8762020301",NA,0,-1,-1,-3
"55","8776010601","Golden Shiner",128,NA,6401,NA,3,1,"Cyprinidae","Actinopterygii","8776010601",2.83857142857143,0,-1,-5,-3
"56","8776011104","Ironcolor Shiner",NA,NA,6,NA,NA,NA,"Cyprinidae","Actinopterygii","8776011104",NA,0,-1,-5,-4
"57","8776011178","Taillight Shiner",NA,NA,1394,NA,10,NA,"Cyprinidae","Actinopterygii","8776011178",NA,0,-1,-2,-2
"58","8776011185","Coastal Shiner",NA,NA,48,NA,NA,NA,"Cyprinidae","Actinopterygii","8776011185",NA,0,-1,-3,-2
"59","8776012301","Grass Carp",6,NA,1,NA,NA,NA,"Cyprinidae","Actinopterygii","8776012301",2,0,-2,-13,-18
"60","8776018999","Metallic Shiner",NA,NA,1,NA,NA,NA,"Cyprinidae","Actinopterygii","8776018999",NA,NA,NA,NA,NA
"61","8776040301","Lake Chubsucker",NA,NA,60,NA,1,5,"Catostomidae","Actinopterygii","8776040301",NA,0,-1,-4,-2
"62","8777020105","Channel Catfish",460,NA,41,NA,3476,NA,"Ictaluridae","Actinopterygii","8777020105",3.75666666666667,0,-3,-9,-6
"63","8777020201","Tadpole Madtom",NA,NA,NA,NA,1,NA,"Ictaluridae","Actinopterygii","8777020201",NA,0,-2,-5,-2
"64","8777020602","White Catfish",1240,NA,2221,NA,14740,NA,"Ictaluridae","Actinopterygii","8777020602",3.65,0,-1,-4,-2
"65","8777020604","Yellow Bullhead",NA,NA,2,NA,1,NA,"Ictaluridae","Actinopterygii","8777020604",NA,0,-2,-7,-4
"66","8777020605","Brown Bullhead",42,NA,68,NA,172,1,"Ictaluridae","Actinopterygii","8777020605",3.40875,0,-6,-12,-7
"67","8777120101","Walking Catfish",NA,NA,1,NA,NA,NA,"Clariidae","Actinopterygii","8777120101",3.2925,0,-1,-2,-3
"68","8777180101","Gafftopsail Catfish",642,5,14,NA,288,4,"Ariidae","Actinopterygii","8777180101",3.395,0,-1,-2,-1
"69","8777180202","Hardhead Catfish",55341,66,4341,35,2139,1550,"Ariidae","Actinopterygii","8777180202",3.335,0,-1,-2,-2
"70","8777300101","Suckermouth Catfish",1,NA,2,NA,NA,NA,"Loricariidae","Actinopterygii","8777300101",NA,0,-1,-2,-2
"71","8777300301","Brown Hoplo",2,NA,26,NA,3,NA,"Callichthyidae","Actinopterygii","8777300301",2.944,0,0,-1,-2
"72","8777302001","Vermiculated Catfish",1,NA,1,NA,2,NA,"Loricariidae","Actinopterygii","8777302001",NA,0,0,-2,-2
"73","8783010201","Oyster Toadfish",477,NA,186,1,726,NA,"Batrachoididae","Actinopterygii","8783010201",3.84,0,-1,-3,-2
"74","8783010202","Gulf Toadfish",2,NA,NA,NA,NA,NA,"Batrachoididae","Actinopterygii","8783010202",NA,0,-1,-1,-2
"75","8784010102","Skilletfish",5,NA,110,NA,70,NA,"Gobiesocidae","Actinopterygii","8784010102",NA,0,-2,-3,-3
"76","8787020101","Sargassumfish",2,NA,7,NA,NA,NA,"Antennariidae","Actinopterygii","8787020101",NA,0,-3,-7,-14
"77","8787020234","Splitlure Frogfish",2,NA,NA,NA,NA,NA,"Antennariidae","Actinopterygii","8787020234",4.2,0,-2,-7,-13
"78","8787040103","Shortnose Batfish",1,NA,NA,NA,NA,NA,"Ogcocephalidae","Actinopterygii","8787040103",3.54,0,-1,-1,-2
"79","8787040113","Polka-dot Batfish",23,NA,1,NA,30,NA,"Ogcocephalidae","Actinopterygii","8787040113",NA,0,-1,-1,-2
"80","8791031002","Spotted Hake",NA,NA,NA,NA,165,NA,"Phycidae","Actinopterygii","8791031002",3.76666666666667,0,-1,-4,-2
"81","8791031007","Southern Hake",2,NA,2,NA,116,NA,"Phycidae","Actinopterygii","8791031007",NA,0,-1,-1,-2
"82","8792010502","Blackedge Cusk-eel",NA,NA,NA,NA,39,NA,"Ophidiidae","Actinopterygii","8792010502",NA,0,-1,-1,-2
"83","8792010603","Bank Cusk-eel",NA,NA,NA,NA,37,NA,"Ophidiidae","Actinopterygii","8792010603",NA,0,-1,-1,-2
"84","8792010605","Crested Cusk-eel",NA,NA,NA,NA,8,NA,"Ophidiidae","Actinopterygii","8792010605",NA,0,-1,-1,-2
"85","8792010613","Striped Cusk-eel",NA,NA,NA,NA,18,NA,"Ophidiidae","Actinopterygii","8792010613",3.51,0,-1,-2,-2
"86","8803010201","Ballyhoo",82,NA,1,NA,NA,NA,"Hemiramphidae","Actinopterygii","8803010201",2.24,0,-1,-2,-3
"87","8803010202","Balao",30,NA,NA,NA,NA,NA,"Hemiramphidae","Actinopterygii","8803010202",3.85,0,-1,-2,-3
"88","8803010301","Halfbeak",16,NA,103,NA,NA,NA,"Hemiramphidae","Actinopterygii","8803010301",2,0,-2,-5,-4
"89","8803010399","False Silver Halfbeak",227,NA,451,NA,NA,NA,"Hemiramphidae","Actinopterygii","8803010399",NA,0,-1,-3,-1
"90","8803010401","Hardhead Halfbeak",NA,NA,2,NA,NA,NA,"Hemiramphidae","Actinopterygii","8803010401",NA,0,-2,-3,-4
"91","8803010901","Fourwing Flyingfish",NA,NA,1,NA,NA,NA,"Exocoetidae","Actinopterygii","8803010901",NA,0,-1,-2,-2
"92","8803020201","Atlantic Needlefish",1833,NA,1229,7,1,4,"Belonidae","Actinopterygii","8803020201",3,0,-1,-4,-3
"93","8803020203","Timucu",4,NA,413,1,NA,NA,"Belonidae","Actinopterygii","8803020203",4.355,0,-1,-2,-3
"94","8803020302","Houndfish",85,NA,7,NA,NA,NA,"Belonidae","Actinopterygii","8803020302",4.445,0,-2,-4,-13
"95","8804040201","Marsh Killifish",NA,NA,72,NA,NA,NA,"Fundulidae","Actinopterygii","8804040201",NA,0,-2,-3,-3
"96","8804040203","Mummichog",20,NA,46317,NA,18,NA,"Fundulidae","Actinopterygii","8804040203",NA,0,-2,-6,-3
"97","8804040205","Striped Killifish",32,NA,2883,NA,NA,NA,"Fundulidae","Actinopterygii","8804040205",NA,0,-1,-3,-2
"98","8804040207","Gulf Killifish",207,NA,2332,NA,NA,NA,"Fundulidae","Actinopterygii","8804040207",3.27,0,-1,-1,-2
"99","8804040208","Golden Topminnow",NA,NA,235,NA,NA,NA,"Fundulidae","Actinopterygii","8804040208",NA,0,-1,-2,-2
"100","8804040213","Longnose Killifish",4,NA,176,NA,NA,NA,"Fundulidae","Actinopterygii","8804040213",3.19,0,-1,-1,-2
"101","8804040223","Seminole Killifish",81,NA,16230,NA,1,17,"Fundulidae","Actinopterygii","8804040223",NA,0,-1,-1,-1
"102","8804040301","Rainwater Killifish",NA,NA,452740,NA,632,NA,"Fundulidae","Actinopterygii","8804040301",NA,0,-2,-3,-3
"103","8804040302","Bluefin Killifish",NA,NA,8873,NA,NA,NA,"Fundulidae","Actinopterygii","8804040302",NA,0,-1,-1,-1
"104","8804040401","Diamond Killifish",NA,NA,2,NA,NA,NA,"Fundulidae","Actinopterygii","8804040401",NA,0,-2,-2,-3
"105","8804040501","Goldspotted Killifish",61,NA,74493,NA,15,NA,"Cyprinodontidae","Actinopterygii","8804040501",3.51,0,-1,-1,-2
"106","8804040801","Flagfish",NA,NA,582,NA,NA,NA,"Cyprinodontidae","Actinopterygii","8804040801",NA,0,-1,-1,-1
"107","8804080116","Eastern Mosquito Fish",2,NA,95689,NA,5,1,"Poeciliidae","Actinopterygii","8804080116",3.1,0,-2,-5,-6
"108","8804080201","Sailfin Molly",2,NA,24989,NA,1,8,"Poeciliidae","Actinopterygii","8804080201",NA,0,-1,-2,-4
"109","8804080401","Least Killifish",NA,NA,4081,NA,1,NA,"Poeciliidae","Actinopterygii","8804080401",NA,0,-1,-1,-1
"110","8805020201","Rough Silverside",2,NA,15868,NA,16,NA,"Atherinopsidae","Actinopterygii","8805020201",3.055,0,-1,-2,-2
"111","8805020302","Atlantic Silverside",9,NA,170075,NA,62,NA,"Atherinopsidae","Actinopterygii","8805020302",3.19,0,-2,-4,-2
"112","8805020501","Hardhead Silverside",NA,NA,1,NA,NA,NA,"Atherinidae","Actinopterygii","8805020501",3.31,0,-3,-4,-5
"113","8805020801","Brook Silverside",NA,NA,8100,NA,1,NA,"Atherinopsidae","Actinopterygii","8805020801",3.05,0,-2,-4,-2
"114","8805021201","Reef Silverside",NA,NA,40,NA,NA,NA,"Atherinidae","Actinopterygii","8805021201",NA,0,-2,-2,-3
"115","8819010101","Trumpetfish",1,NA,NA,NA,NA,NA,"Aulostomidae","Actinopterygii","8819010101",4.26,0,-1,-1,-2
"116","8819020101","Bluespotted Cornetfish",2,NA,1,1,NA,NA,"Fistulariidae","Actinopterygii","8819020101",3.98,0,-1,-4,-3
"117","8820020102","Dusky Pipefish",1,NA,8,NA,7,NA,"Syngnathidae","Actinopterygii","8820020102",3.47,0,-1,-1,-2
"118","8820020103","Northern Pipefish",NA,NA,10,NA,34,NA,"Syngnathidae","Actinopterygii","8820020103",3.22,0,-2,-4,-2
"119","8820020104","Chain Pipefish",18,NA,1718,NA,778,NA,"Syngnathidae","Actinopterygii","8820020104",NA,0,-1,-1,-2
"120","8820020113","Gulf Pipefish",2,NA,15075,NA,6009,NA,"Syngnathidae","Actinopterygii","8820020113",3.34,0,-1,-1,-2
"121","8820020201","Lined Seahorse",107,NA,203,NA,116,NA,"Syngnathidae","Actinopterygii","8820020201",NA,0,-1,-4,-2
"122","8820020205","Dwarf Seahorse",NA,NA,395,NA,25,NA,"Syngnathidae","Actinopterygii","8820020205",NA,0,-1,-1,-2
"123","8820020601","Opposum Pipefish",NA,NA,237,NA,NA,NA,"Syngnathidae","Actinopterygii","8820020601",NA,0,-2,-3,-6
"124","8826010605","Barbfish",14,NA,NA,NA,2,NA,"Scorpaenidae","Actinopterygii","8826010605",3.76,0,-1,-1,-2
"125","8826010609","Plumed Scorpionfish",97,NA,12,3,4,NA,"Scorpaenidae","Actinopterygii","8826010609",3.89,0,-1,-1,-2
"126","8826010614","Spotted Scorpionfish",76,NA,2,NA,5,NA,"Scorpaenidae","Actinopterygii","8826010614",3.545,0,-1,-2,-2
"127","8826020101","Northern Searobin",NA,NA,5,NA,116,NA,"Triglidae","Actinopterygii","8826020101",3.72333333333333,0,-1,-4,-2
"128","8826020102","Striped Searobin",29,NA,2,NA,201,NA,"Triglidae","Actinopterygii","8826020102",4.28,0,-1,-4,-2
"129","8826020103","Leopard Searobin",395,NA,195,NA,857,1,"Triglidae","Actinopterygii","8826020103",3.39,0,-1,-1,-2
"130","8826020104","Bighead Searobin",539,NA,359,1,1841,NA,"Triglidae","Actinopterygii","8826020104",NA,0,-1,-1,-2
"131","8826020118","Blackfin Searobin",5,NA,NA,NA,13,NA,"Triglidae","Actinopterygii","8826020118",NA,0,-1,-1,-2
"132","8835010102","Swordspine Snook",8,NA,7,1,NA,NA,"Centropomidae","Actinopterygii","8835010102",3.61,0,-2,-3,-3
"133","8835010103","Fat Snook",101,NA,296,7,NA,17,"Centropomidae","Actinopterygii","8835010103",NA,0,-2,-3,-3
"134","8835010104","Tarpon Snook",11,NA,110,11,NA,3,"Centropomidae","Actinopterygii","8835010104",NA,0,-2,-3,-3
"135","8835010105","Common Snook",20754,NA,13977,268,5,341,"Centropomidae","Actinopterygii","8835010105",4.16666666666667,0,-2,-3,-4
"136","8835020301","Black Sea Bass",5,NA,NA,NA,65,NA,"Serranidae","Actinopterygii","8835020301",3.77166666666667,0,-1,-3,-2
"137","8835020305","Rock Sea Bass",41,NA,78,NA,500,NA,"Serranidae","Actinopterygii","8835020305",NA,0,-1,-2,-2
"138","8835020401","Goliath Grouper",67,NA,4,NA,7,1,"Serranidae","Actinopterygii","8835020401",3.93,0,-2,-2,-4
"139","8835020408","Red Grouper",11,NA,1,NA,NA,NA,"Serranidae","Actinopterygii","8835020408",3.57,0,-1,-1,-2
"140","8835020501","Gag",335,NA,20,NA,6,NA,"Serranidae","Actinopterygii","8835020501",3.65,0,-1,-2,-2
"141","8835020502","Black Grouper",28,NA,NA,NA,NA,NA,"Serranidae","Actinopterygii","8835020502",4.365,0,-1,-2,-2
"142","8835021002","Sand Perch",7,NA,2,NA,5,NA,"Serranidae","Actinopterygii","8835021002",4.045,0,-1,-2,-2
"143","8835021005","Dwarf Sand Perch",NA,NA,NA,NA,2,NA,"Serranidae","Actinopterygii","8835021005",NA,0,-1,-1,-2
"144","8835022201","Pygmy Sea Bass",NA,NA,NA,NA,1,NA,"Serranidae","Actinopterygii","8835022201",NA,0,-1,-1,-2
"145","8835160402","Bluespotted Sunfish",NA,NA,379,1,NA,NA,"Centrarchidae","Actinopterygii","8835160402",NA,0,-1,-2,-1
"146","8835160501","Redbreast Sunfish",680,NA,3100,NA,491,1,"Centrarchidae","Actinopterygii","8835160501",3.23,0,-1,-4,-2
"147","8835160504","Bluegill",1840,NA,28356,9,955,45,"Centrarchidae","Actinopterygii","8835160504",3.39857142857143,0,-2,-8,-10
"148","8835160507","Dollar Sunfish",1,NA,24,NA,1,NA,"Centrarchidae","Actinopterygii","8835160507",NA,0,-1,-1,-1
"149","8835160509","Redear Sunfish",1022,NA,6658,10,563,34,"Centrarchidae","Actinopterygii","8835160509",NA,0,-1,-5,-4
"150","8835160510","Spotted Sunfish",20,NA,308,3,9,NA,"Centrarchidae","Actinopterygii","8835160510",NA,0,-1,-2,-2
"151","8835160602","Largemouth Bass",465,NA,7735,4,42,11,"Centrarchidae","Actinopterygii","8835160602",3.80733333333333,0,-3,-9,-12
"152","8835160702","Black Crappie",80,NA,385,NA,641,3,"Centrarchidae","Actinopterygii","8835160702",3.76666666666667,0,-3,-6,-4
"153","8835161001","Warmouth",14,NA,220,NA,12,NA,"Centrarchidae","Actinopterygii","8835161001",NA,0,-1,-7,-4
"154","8835180201","Bronze Cardinalfish",NA,NA,1,NA,NA,NA,"Apogonidae","Actinopterygii","8835180201",NA,0,-1,-1,-2
"155","8835200101","Swamp Darter",NA,NA,62,NA,2,NA,"Percidae","Actinopterygii","8835200101",NA,0,-1,-2,-1
"156","8835200319","Blackbanded Darter",NA,NA,3,NA,1,NA,"Percidae","Actinopterygii","8835200319",NA,0,-1,-2,-2
"157","8835250101","Bluefish",1084,NA,231,NA,5,NA,"Pomatomidae","Actinopterygii","8835250101",4.45294117647059,0,-2,-9,-12
"158","8835260101","Cobia",23,NA,1,NA,5,NA,"Rachycentridae","Actinopterygii","8835260101",4.28,0,-2,-6,-15
"159","8835270103","Remora",1,NA,NA,NA,NA,NA,"Echeneidae","Actinopterygii","8835270103",3.47,0,-2,-16,-13
"160","8835270201","Sharksucker",17,NA,NA,NA,NA,NA,"Echeneidae","Actinopterygii","8835270201",3.745,0,-2,-8,-16
"161","8835270202","Whitefin Sharksucker",8,NA,NA,NA,NA,1,"Echeneidae","Actinopterygii","8835270202",NA,0,-1,-2,-2
"162","8835280303","Crevalle Jack",9745,51,669,12,27,51,"Carangidae","Actinopterygii","8835280303",3.70666666666667,0,-1,-5,-4
"163","8835280304","Horse-eye Jack",919,NA,108,55,1,6,"Carangidae","Actinopterygii","8835280304",3.845,0,-1,-2,-2
"164","8835280306","Blue Runner",341,NA,NA,1,NA,NA,"Carangidae","Actinopterygii","8835280306",4.15,0,-1,-4,-5
"165","8835280401","Atlantic Bumper",7255,NA,769,NA,2649,NA,"Carangidae","Actinopterygii","8835280401",3.855,0,-1,-2,-3
"166","8835280501","Leatherjacket",3957,6,5195,8,8,7,"Carangidae","Actinopterygii","8835280501",3.61333333333333,0,-2,-5,-2
"167","8835280601","Bigeye Scad",6,NA,NA,NA,NA,NA,"Carangidae","Actinopterygii","8835280601",3.91333333333333,0,-2,-5,-14
"168","8835280701","Lookdown",18090,NA,123,31,203,13,"Carangidae","Actinopterygii","8835280701",4.29,0,-1,-3,-2
"169","8835280705","Atlantic Moonfish",36,NA,NA,NA,168,NA,"Carangidae","Actinopterygii","8835280705",NA,0,-1,-5,-2
"170","8835280802","Lesser Amberjack",NA,NA,1,NA,NA,NA,"Carangidae","Actinopterygii","8835280802",NA,0,-1,-2,-4
"171","8835280803","Almaco Jack",NA,NA,1,NA,NA,NA,"Carangidae","Actinopterygii","8835280803",4.38,0,-2,-9,-14
"172","8835280901","Florida Pompano",673,4,3601,NA,NA,NA,"Carangidae","Actinopterygii","8835280901",3.5,0,-1,-2,-2
"173","8835280902","Permit",2536,NA,2857,26,4,NA,"Carangidae","Actinopterygii","8835280902",3.884,0,-1,-2,-2
"174","8835280903","Palometa",6,NA,1,NA,NA,NA,"Carangidae","Actinopterygii","8835280903",4.345,0,-1,-3,-2
"175","8835290101","Dolphin",NA,NA,4,NA,NA,NA,"Coryphaenidae","Actinopterygii","8835290101",4.4625,0,-2,-12,-16
"176","8835360101","Cubera Snapper",2,NA,9,NA,NA,1,"Lutjanidae","Actinopterygii","8835360101",4.36,0,-1,-1,-2
"177","8835360102","Gray Snapper",5991,NA,2576,110,692,191,"Lutjanidae","Actinopterygii","8835360102",4.02125,0,-1,-2,-2
"178","8835360103","Mutton Snapper",2338,NA,288,6,150,NA,"Lutjanidae","Actinopterygii","8835360103",3.932,0,-1,-2,-2
"179","8835360104","Schoolmaster",19,NA,8,NA,2,NA,"Lutjanidae","Actinopterygii","8835360104",3.80909090909091,0,-1,-2,-2
"180","8835360107","Red Snapper",NA,NA,NA,NA,2,NA,"Lutjanidae","Actinopterygii","8835360107",NA,0,-1,-2,-2
"181","8835360109","Dog Snapper",13,NA,19,1,1,21,"Lutjanidae","Actinopterygii","8835360109",4.25166666666667,0,-1,-2,-3
"182","8835360112","Lane Snapper",1674,NA,454,3,388,NA,"Lutjanidae","Actinopterygii","8835360112",3.81571428571429,0,-1,-1,-2
"183","8835360401","Yellowtail Snapper",70,NA,15,NA,6,NA,"Lutjanidae","Actinopterygii","8835360401",3.8725,0,-1,-2,-2
"184","8835380101","Tripletail",80,NA,28,5,2,NA,"Lobotidae","Actinopterygii","8835380101",4.04,0,-2,-7,-12
"185","8835390101","Spotfin Mojarra",102,NA,546,2,51,1,"Gerreidae","Actinopterygii","8835390101",3.24,0,-3,-6,-5
"186","8835390102","Silver Jenny",40475,NA,29471,2380,3398,163,"Gerreidae","Actinopterygii","8835390102",2.90166666666667,0,-2,-5,-4
"187","8835390105","Flagfin Mojarra",306,NA,16,5,NA,NA,"Gerreidae","Actinopterygii","8835390105",NA,0,-1,-1,-3
"188","8835390109","Slender Mojarra",423,NA,2078,76,22,NA,"Gerreidae","Actinopterygii","8835390109",NA,0,-1,-1,-2
"189","8835390111","Tidewater Mojarra",53998,NA,71004,953,2407,1518,"Gerreidae","Actinopterygii","8835390111",NA,0,-1,-1,-1
"190","8835390202","Rhombic Mojarra",26,NA,31,4,NA,NA,"Gerreidae","Actinopterygii","8835390202",2.884,0,-1,-1,-1
"191","8835390203","Striped Mojarra",1912,NA,18705,373,2,831,"Gerreidae","Actinopterygii","8835390203",2.425,0,-1,-1,-1
"192","8835390204","Irish Pompano",155151,NA,123488,2143,3512,5408,"Gerreidae","Actinopterygii","8835390204",2.44,0,-1,-1,-2
"193","8835390301","Yellowfin Mojarra",2666,NA,1407,30,NA,5,"Gerreidae","Actinopterygii","8835390301",3.60333333333333,0,-1,-1,-2
"194","8835400101","Tomtate",169,NA,3,NA,NA,NA,"Haemulidae","Actinopterygii","8835400101",3.55333333333333,0,-1,-2,-2
"195","8835400102","White Grunt",817,NA,36,NA,39,1,"Haemulidae","Actinopterygii","8835400102",3.6275,0,-1,-1,-2
"196","8835400108","French Grunt",11,NA,3,NA,NA,NA,"Haemulidae","Actinopterygii","8835400108",3.46,0,-1,-1,-2
"197","8835400113","Bluestriped Grunt",325,NA,47,NA,5,NA,"Haemulidae","Actinopterygii","8835400113",3.48,0,-1,-1,-2
"198","8835400117","Sailors Choice",466,NA,572,8,283,NA,"Haemulidae","Actinopterygii","8835400117",3.44666666666667,0,-1,-1,-2
"199","8835400201","Pigfish",34106,5,18759,NA,5302,2,"Haemulidae","Actinopterygii","8835400201",3.1,0,-1,-2,-2
