"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Scientificname","Genus","Subfamily","Family","Order","Class"
"514","8857030304","Southern Flounder",11,NA,NA,NA,NA,1435,"Paralichthys lethostigma","Paralichthys",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"515","8857030306","Broad Flounder",NA,NA,NA,NA,NA,122,"Paralichthys squamilentus","Paralichthys",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"516","8857030506","Ocellated Flounder",31,NA,393,195,7,1701,"Ancylopsetta quadrocellata",NA,NA,NA,NA,NA
"517","8857030604","Twospot Flounder",3,NA,8,NA,NA,NA,"Bothus robinsi","Bothus",NA,"Bothidae","Pleuronectiformes","Actinopterygii"
"518","8857030801","Mexican Flounder",NA,NA,NA,NA,NA,1,"Cyclopsetta chittendeni","Cyclopsetta",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"519","8857031300",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"520","8857031301","Shoal Flounder",NA,NA,NA,NA,NA,2,"Syacium gunteri","Syacium",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"521","8857031303","Dusky Flounder",4,NA,8,NA,NA,7,"Syacium papillosum","Syacium",NA,"Paralichthyidae","Pleuronectiformes","Actinopterygii"
"522","8857050000","Lefteyed Flounders",NA,NA,NA,1,NA,2,"Paralichthyidae spp.",NA,NA,NA,NA,NA
"523","8858010000","American Soles",NA,NA,1,1,4,2,"Achiridae spp.",NA,NA,NA,NA,NA
"524","8858020101","Blackcheek Tonguefish",123,2,4556,5971,271,9605,"Symphurus plagiusa","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Actinopterygii"
"525","8858020102","Offshore Tonguefish",NA,NA,NA,NA,NA,36,"Symphurus civitatium","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Actinopterygii"
"526","8858020106","Pygmy Tonguefish",NA,NA,NA,NA,NA,12,"Symphurus parvus","Symphurus","Symphurinae","Cynoglossidae","Pleuronectiformes","Actinopterygii"
"527","8858030101","Hogchoker",158,28,46360,23627,131,6269,"Trinectes maculatus","Trinectes",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"528","8858030102","Scrawled Sole",NA,1,NA,NA,NA,NA,"Trinectes inscriptus","Trinectes",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"529","8858030202","Lined Sole",209,74,3272,5230,145,487,"Achirus lineatus","Achirus",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"530","8858030301","Naked Sole",NA,NA,2,1,NA,NA,"Gymnachirus melas","Gymnachirus",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"531","8858030303","Fringed Sole",NA,NA,1,NA,NA,NA,"Gymnachirus texae","Gymnachirus",NA,"Achiridae","Pleuronectiformes","Actinopterygii"
"532","8860020000","Triggerfishes",NA,NA,NA,NA,7,NA,"Balistidae spp.",NA,NA,NA,NA,NA
"533","8860020101","Orange Filefish",397,3,423,497,24,597,"Aluterus schoepfii","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"534","8860020104","Scrawled Filefish",NA,1,NA,1,NA,NA,"Aluterus scriptus","Aluterus",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"535","8860020700",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"536","8860020701","Fringed Filefish",6307,2,451,641,498,5609,"Monacanthus ciliatus","Monacanthus",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"537","8860020703","Planehead Filefish",9384,3,12417,12045,1391,14763,"Stephanolepis hispidus","Stephanolepis",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"538","8860020704","Pygmy Filefish",NA,NA,NA,5,NA,2,"Stephanolepis setifer","Stephanolepis",NA,"Monacanthidae","Tetraodontiformes","Actinopterygii"
"539","8860030000","Boxfishes",NA,NA,NA,20,3,1,"Ostraciidae spp.",NA,NA,NA,NA,NA
"540","8860030100","Trunkfishes",NA,NA,NA,10,1,NA,"Lactophrys spp.",NA,NA,NA,NA,NA
"541","8860030101","Trunkfish",7,5,30,37,NA,9,"Lactophrys trigonus","Lactophrys",NA,"Ostraciidae","Tetraodontiformes","Actinopterygii"
"542","8860030103","Smooth Trunkfish",4,NA,NA,NA,NA,2,"Lactophrys triqueter",NA,NA,NA,NA,NA
"543","8860030200","Cowfish",1,NA,NA,NA,NA,2,"Acanthostracion spp.",NA,NA,NA,NA,NA
"544","8860030201","Scrawled Cowfish",1169,7,5174,9873,279,2026,"Acanthostracion quadricornis","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Actinopterygii"
"545","8860030202","Honeycomb Cowfish",NA,NA,NA,NA,NA,2,"Acanthostracion polygonius","Acanthostracion",NA,"Ostraciidae","Tetraodontiformes","Actinopterygii"
"546","8860040000","Filefishes",NA,1,1,NA,NA,NA,"Monacanthidae spp.",NA,NA,NA,NA,NA
"547","8861010101","Smooth Puffer",NA,NA,NA,NA,NA,3,"Lagocephalus laevigatus","Lagocephalus","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"548","8861010200",NA,3,NA,3,2,NA,204,NA,NA,NA,NA,NA,NA
"549","8861010201","Northern Puffer",NA,NA,1,NA,NA,NA,"Sphoeroides maculatus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"550","8861010202","Checkered Puffer",NA,1,NA,NA,NA,NA,"Sphoeroides testudineus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"551","8861010208","Southern Puffer",1380,174,12559,10687,680,4840,"Sphoeroides nephelus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"552","8861010210","Least Puffer",46,NA,NA,NA,NA,334,"Sphoeroides parvus","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"553","8861010211","Bandtail Puffer",14,21,145,141,10,29,"Sphoeroides spengleri","Sphoeroides","Tetraodontinae","Tetraodontidae","Tetraodontiformes","Actinopterygii"
"554","8861030100",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"555","8861030101","Striped Burrfish",4365,131,17901,13541,384,7318,"Chilomycterus schoepfii","Chilomycterus",NA,"Diodontidae","Tetraodontiformes","Actinopterygii"
"556","8861030200",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"557","8861030201","Porcupinefish",1,NA,NA,NA,NA,NA,"Diodon hystrix","Diodon",NA,"Diodontidae","Tetraodontiformes","Actinopterygii"
"558","8861030202","Balloonfish",NA,NA,15,6,NA,NA,"Diodon holocanthus","Diodon",NA,"Diodontidae","Tetraodontiformes","Actinopterygii"
"559","9002010201","Alligator Snapping Turtle",NA,NA,NA,NA,NA,1,"Macrochelys temminckii",NA,NA,NA,NA,NA
"560","9002030300","Terrapin",NA,NA,NA,1,NA,NA,"Malaclemys spp.",NA,NA,NA,NA,NA
"561","9002030301","Diamondback Terrapin",2,2,18,57,3,155,"Malaclemys terrapin",NA,NA,NA,NA,NA
"562","9002030501","Chicken Turtle",NA,NA,NA,NA,NA,7,"Deirochelys reticularia",NA,NA,NA,NA,NA
"563","9002030800","Cooters - Turtles",1,NA,NA,NA,NA,1,"Pseudemys spp.",NA,NA,NA,NA,NA
"564","9002030802","Suwannee Cooter",NA,NA,NA,NA,NA,3,"Pseudemys suwanniensis",NA,NA,NA,NA,NA
"565","9002030803","Peninsula Cooter",NA,NA,1,NA,5,1,"Pseudemys peninsularis",NA,NA,NA,NA,NA
"566","9002030804","Florida Redbelly Turtle",NA,NA,NA,NA,NA,1,"Pseudemys nelsoni",NA,NA,NA,NA,NA
"567","9002040101","Loggerhead Sea Turtle",2,NA,3,NA,NA,5,"Caretta caretta",NA,NA,NA,NA,NA
"568","9002040201","Green Sea Turtle",2,NA,28,15,1,52,"Chelonia mydas",NA,NA,NA,NA,NA
"569","9002040400","Ridley Sea Turtles",NA,NA,1,NA,NA,NA,"Lepidochelys spp.",NA,NA,NA,NA,NA
"570","9002040401","Kemps Ridley Sea Turtle",1,NA,5,NA,NA,21,"Lepidochelys kempii",NA,NA,NA,NA,NA
"571","9002060201","Florida Softshell",NA,NA,3,NA,NA,NA,"Apalone ferox",NA,NA,NA,NA,NA
"572","9.998e+09",NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"573","9.999e+09",NA,NA,NA,2,7,1,2,NA,NA,NA,NA,NA,NA
"574","878301020201","Gulf Toadfish (red morph)",2,4,NA,2,NA,7,"Opsanus beta (red morph)",NA,NA,NA,NA,NA
"575","878301020202","Gulf Toadfish (yellow morph)",NA,3,NA,NA,NA,NA,"Opsanus beta (yellow morph)",NA,NA,NA,NA,NA
"576","900203090102","Red-eared Turtle",NA,NA,NA,1,NA,NA,"Trachemys scripta elegans",NA,NA,NA,NA,NA
