OBJECTID,Survey,StartDepth,Lat_DD,Long_DD,SDate,Depth_1,Temp_1,pH_1,Salinity_1,DisO2_1,Depth_2,Temp_2,pH_2,Salinity_2,DisO2_2,BttmType1,BttmType2,BttmType3,BttmType4,BttmVeg1,BV1_PercComp,BttmVeg2,BV2_PercComp,BttmVeg3,BV3_PercComp,BttmVeg4,BV4_PercComp,BV_TotalCover
12,FKM07120106,0.5000000,24.714916666666667,-81.029416666666663,12/20/2007 11:20:00,0.2000000,21.6000004,8.0000000,36.5999985,12.1999998,,,,,,M,,,,TH,6,AC,4,,,,,100
13,FKM07120107,0.5000000,24.715683333333335,-81.035383333333328,12/20/2007 11:50:00,0.5000000,22.0000000,8.0000000,36.7999992,13.1999998,,,,,,M,S,,,TH,4,AC,6,,,,,100
14,FKM07120108,0.7000000,24.700616666666665,-81.074166666666670,12/20/2007 12:30:00,0.2000000,21.7000008,8.0000000,37.0999985,12.1999998,0.7000000,21.7000008,8.0000000,37.0999985,12.3999996,S,,,,TH,9,AC,1,,,,,100
15,FKM07120109,0.7000000,24.687166666666666,-81.094166666666666,12/20/2007 13:00:00,0.2000000,23.3999996,8.1999998,37.0000000,14.1999998,0.7000000,23.3999996,8.1999998,37.0000000,14.1000004,S,M,,,TH,X,,,,,,,100
16,FKM07120110,0.6000000,24.687216666666668,-81.103499999999997,12/20/2007 13:30:00,0.2000000,22.6000004,8.1000004,37.0999985,13.1000004,0.6000000,22.6000004,8.1000004,37.0999985,13.1000004,M,,,,TH,X,,,,,,,100
17,FKM08010101,0.5000000,24.761800000000001,-80.947833333333335,1/9/2008 9:00:00,0.2000000,21.2999992,7.9000001,37.2999992,9.3999996,,,,,,S,M,,,TH,X,,,,,,,90
18,FKM08010102,0.5000000,24.760649999999998,-80.950800000000001,1/9/2008 9:44:00,0.2000000,21.2999992,8.0000000,37.5000000,9.8999996,,,,,,M,,,,TH,5,HA,5,,,,,90
19,FKM08010103,0.6000000,24.747233333333334,-80.967166666666671,1/9/2008 10:00:00,0.2000000,21.7999992,7.8000002,37.4000015,9.8999996,0.6000000,21.7999992,8.0000000,37.5000000,9.0000000,S,,,,TH,4,HA,3,AC,3,,,100
20,FKM08010104,0.7000000,24.732600000000001,-80.992999999999995,1/9/2008 10:45:00,0.2000000,21.7000008,8.0000000,37.5000000,9.1999998,0.7000000,21.6000004,8.0000000,37.5000000,8.6000004,M,,,,TH,5,HA,3,AC,2,,,100
21,FKM08010105,0.7000000,24.727683333333335,-81.004400000000004,1/9/2008 11:10:00,0.2000000,21.7999992,8.0000000,37.5000000,9.1999998,0.7000000,21.7999992,8.0000000,37.5000000,8.8000002,S,,,,HA,6,TH,3,AC,1,,,100
22,FKM08010106,0.7000000,24.713833333333334,-81.030016666666668,1/9/2008 11:40:00,0.2000000,21.7000008,8.0000000,36.9000015,9.6999998,0.7000000,21.5000000,8.0000000,37.0000000,9.5000000,S,,,,TH,9,AC,1,,,,,100
23,FKM08010107,0.7000000,24.713366666666666,-81.033333333333331,1/9/2008 12:10:00,0.2000000,21.7000008,8.0000000,37.0000000,9.8000002,0.7000000,21.6000004,8.0000000,37.0000000,9.6999998,S,,,,TH,8,AC,2,,,,,100
24,FKM08010108,0.7000000,24.705216666666665,-81.072083333333339,1/9/2008 12:50:00,0.2000000,23.6000004,8.1999998,37.0000000,11.3999996,0.7000000,23.6000004,8.1999998,37.0000000,12.3000002,M,,,,SY,6,TH,2,AC,2,,,80
25,FKM08010109,0.6000000,24.685533333333332,-81.092833333333331,1/9/2008 13:24:00,0.2000000,22.7999992,8.1000004,37.0000000,10.0000000,0.6000000,22.7999992,8.1000004,37.0000000,9.8999996,S,,,,TH,X,,,,,,,100
26,FKM08010110,0.6000000,24.686566666666668,-81.100466666666662,1/9/2008 14:00:00,0.2000000,23.1000004,8.0000000,36.9000015,9.6000004,0.6000000,23.1000004,8.0000000,36.9000015,9.6000004,S,,,,TH,X,,,,,,,100
27,FKM08020101,0.6000000,24.746883333333333,-80.966999999999999,2/7/2008 9:00:00,0.2000000,24.8999996,7.8000002,38.0000000,5.5000000,0.6000000,24.8999996,7.9000001,38.0999985,5.9000001,S,,,,HA,8,TH,1,SY,1,,,90
28,FKM08020102,0.6000000,24.763449999999999,-80.944483333333338,2/7/2008 9:45:00,0.2000000,24.7000008,7.9000001,38.5999985,5.6999998,0.6000000,24.7000008,7.9000001,38.5999985,5.8000002,M,,,,HA,9,TH,1,,,,,100
29,FKM08020103,0.5000000,24.754033333333332,-80.959999999999994,2/7/2008 10:20:00,0.5000000,25.1000004,7.9000001,38.5000000,7.3000002,,,,,,S,,,,HA,X,,,,,,,100
30,FKM08020104,0.4000000,24.732316666666666,-80.994066666666669,2/7/2008 10:50:00,0.4000000,25.2999992,7.6999998,38.4000015,6.9000001,,,,,,M,,,,HA,X,,,,,,,60
31,FKM08020105,0.5000000,24.728816666666667,-81.001816666666670,2/7/2008 11:30:00,0.5000000,25.6000004,7.8000002,38.2999992,8.1000004,,,,,,M,,,,HA,X,,,,,,,80
32,FKM08020106,0.7000000,24.712883333333334,-81.029650000000004,2/7/2008 12:00:00,0.2000000,25.2000008,7.8000002,37.7000008,8.1000004,0.7000000,25.2000008,7.9000001,37.7000008,8.3999996,S,,,,TH,8,HA,2,,,,,100
33,FKM08020107,0.7000000,24.713950000000001,-81.038383333333329,2/7/2008 12:30:00,0.2000000,25.3999996,7.8000002,37.9000015,7.8000002,0.7000000,25.3999996,7.8000002,37.9000015,7.8000002,M,,,,TH,X,,,,,,,100
34,FKM07100107,1.0000000,24.714433333333332,-81.037966666666662,10/3/2007 12:48:00,1.0000000,28.6000004,7.8000002,36.5999985,,0.2000000,28.5000000,7.8000002,36.5999985,,S,,,,TH,X,,,,,,,100
35,FKM07100108,0.6000000,24.700966666666666,-81.074216666666672,10/3/2007 13:24:00,0.6000000,28.5000000,7.8000002,36.4000015,,0.2000000,28.5000000,7.9000001,36.4000015,,S,,,,TH,X,,,,,,,90
36,FKM07100109,1.0000000,24.687866666666668,-81.100166666666667,10/3/2007 13:54:00,1.0000000,28.7999992,7.8000002,36.0000000,,0.2000000,28.7999992,7.8000002,36.0999985,,M,,,,TH,9,HA,1,,,,,100
37,FKM07100110,0.7000000,24.687983333333335,-81.101600000000005,10/3/2007 14:25:00,0.2000000,29.2999992,7.8000002,36.0999985,,0.7000000,29.2000008,7.8000002,36.0999985,,M,,,,TH,X,,,,,,,100
38,FKM07110101,0.5000000,24.763333333333332,-80.944400000000002,11/28/2007 9:30:00,0.5000000,25.2999992,7.3000002,36.9000015,7.1999998,,,,,,M,,,,TH,X,,,,,,,100
39,FKM07110102,0.5000000,24.756850000000000,-80.956783333333334,11/28/2007 10:45:00,0.5000000,26.1000004,7.9000001,37.2000008,8.1000004,,,,,,S,,,,TH,5,HA,5,,,,,100
40,FKM07110103,0.4000000,24.747599999999998,-80.966966666666664,11/28/2007 11:20:00,0.4000000,26.6000004,7.9000001,37.2999992,11.6000004,,,,,,S,,,,HA,X,,,,,,,100
41,FKM07110104,0.4000000,24.731333333333332,-80.996466666666663,11/28/2007 12:15:00,0.4000000,27.1000004,7.8000002,37.4000015,8.5000000,,,,,,M,,,,HA,X,,,,,,,100
42,FKM08090102,0.8000000,24.757266666666666,-80.955833333333331,9/29/2008 10:05:00,0.2000000,28.8999996,7.8000002,36.7000008,7.9000001,0.8000000,28.7999992,7.8000002,36.7999992,7.5000000,S,,,,HA,X,,,,,,,40
43,FKM08090103,1.0000000,24.746983333333333,-80.966416666666660,9/29/2008 10:50:00,0.2000000,28.7999992,7.1999998,36.7000008,8.1000004,1.0000000,28.7999992,7.8000002,36.7000008,7.8000002,S,,,,TH,X,,,,,,,60
44,FKM08090104,0.8000000,24.730650000000001,-80.999033333333330,9/29/2008 11:25:00,0.2000000,29.2999992,7.8000002,36.5000000,10.3000002,0.8000000,29.7000008,7.6999998,36.5000000,11.6000004,S,,,,HA,X,,,,,,,80
45,FKM08090105,1.1000000,24.726666666666667,-81.006649999999993,9/29/2008 12:15:00,0.2000000,29.7000008,7.5999999,36.7000008,8.1000004,1.1000000,29.7999992,7.6999998,36.5999985,6.5000000,S,,,,SY,X,,,,,,,80
46,FKM08090106,0.8000000,24.713316666666667,-81.029333333333327,9/29/2008 13:05:00,0.2000000,29.7999992,7.8000002,36.7000008,9.8000002,0.8000000,29.7999992,7.8000002,36.7000008,8.8999996,S,,,,TH,X,,,,,,,95
47,FKM08090107,0.8000000,24.714549999999999,-81.037683333333334,9/29/2008 13:45:00,0.2000000,30.0000000,7.9000001,36.5999985,10.0000000,0.8000000,30.0000000,7.9000001,36.7000008,9.6000004,S,,,,TH,X,,,,,,,95
48,FKM08090108,0.4000000,24.703883333333334,-81.072533333333340,9/29/2008 14:25:00,0.2000000,32.7999992,7.6999998,36.4000015,9.1999998,,,,,,S,M,,,HA,5,TH,5,,,,,100
49,FKM08090109,0.6000000,24.687650000000001,-81.094116666666665,9/29/2008 15:15:00,0.2000000,31.3999996,7.9000001,36.5000000,10.8000002,0.6000000,31.3999996,8.0000000,36.5999985,10.3000002,S,,,,TH,X,,,,,,,90
50,FKM08090110,0.8000000,24.686599999999999,-81.106899999999996,9/29/2008 15:50:00,0.2000000,31.8999996,7.8000002,36.4000015,11.3999996,0.8000000,31.8999996,8.0000000,36.4000015,10.8000002,S,,,,TH,X,,,,,,,100
51,FKM08110101,0.7000000,24.712966666666667,-81.030716666666663,11/3/2008 9:25:00,0.2000000,23.0000000,7.9000001,36.7999992,8.1999998,0.7000000,23.0000000,8.0000000,36.9000015,8.1999998,S,,,,TH,9,AC,1,,,,,100
52,FKM08110102,0.8000000,24.714900000000000,-81.037866666666673,11/3/2008 10:05:00,0.2000000,23.2999992,8.0000000,36.9000015,7.3000002,0.8000000,23.2999992,8.0000000,36.9000015,7.0999999,S,M,,,TH,6,AR,3,AC,1,,,100
53,FKM08110103,0.9000000,24.748999999999999,-80.963099999999997,11/3/2008 11:00:00,0.2000000,23.7999992,8.0000000,36.9000015,8.1999998,0.9000000,23.7000008,8.0000000,36.9000015,8.1000004,S,,,,TH,9,AC,1,,,,,100
54,FKM08110104,0.8000000,24.763366666666666,-80.944683333333330,11/3/2008 11:30:00,0.2000000,24.7000008,8.0000000,37.0999985,7.5000000,0.8000000,24.7000008,8.0000000,37.0999985,7.1999998,M,S,,,HA,6,TH,4,,,,,70
55,FKM08110105,0.7000000,24.760716666666667,-80.950000000000003,11/3/2008 12:10:00,0.2000000,25.0000000,8.1000004,37.0000000,8.8000002,0.7000000,25.0000000,8.1000004,37.0000000,8.8999996,S,,,,TH,7,HA,3,,,,,100
56,FKM08110106,0.9000000,24.732783333333334,-80.992750000000001,11/3/2008 12:55:00,0.2000000,24.6000004,8.0000000,36.9000015,8.6999998,0.9000000,24.6000004,8.1000004,37.0000000,8.6000004,S,M,,,HA,8,TH,2,,,,,100
57,FKM08110107,1.0000000,24.727333333333334,-81.005416666666662,11/3/2008 13:30:00,0.2000000,25.2999992,8.0000000,37.0999985,9.5000000,1.0000000,25.2999992,8.1000004,37.0000000,9.6999998,S,,,,SY,5,HA,5,,,,,80
58,FKM08110108,0.5000000,24.701983333333335,-81.073616666666666,11/3/2008 14:35:00,0.2000000,27.0000000,8.1999998,37.0000000,9.3999996,,,,,,M,S,,,HA,8,TH,2,,,,,100
59,FKM08110109,0.8000000,24.687983333333335,-81.098583333333337,11/3/2008 15:10:00,0.2000000,26.0000000,8.1000004,36.7999992,10.0000000,0.8000000,26.0000000,8.1000004,36.7999992,10.1000004,M,S,,,TH,9,AC,1,,,,,100
60,FKM08110110,0.9000000,24.686650000000000,-81.103683333333336,11/3/2008 15:40:00,0.2000000,25.8999996,8.1999998,36.7999992,9.6999998,0.9000000,25.8999996,8.1999998,36.7999992,10.0000000,M,S,,,TH,X,,,,,,,100
61,FKM08120101,0.8000000,24.716133333333332,-81.034633333333332,12/4/2008 8:50:00,0.2000000,19.5000000,7.5999999,37.0000000,,0.8000000,19.5000000,7.5999999,37.0000000,,S,M,,,TH,X,,,,,,,95
62,FKM08120102,0.8000000,24.712550000000000,-81.032550000000001,12/4/2008 9:15:00,0.2000000,19.6000004,7.9000001,37.0999985,7.8000002,0.8000000,19.6000004,7.9000001,37.0999985,7.8000002,S,,,,TH,9,AC,1,,,,,100
63,FKM08120103,0.5000000,24.760983333333332,-80.948716666666670,12/4/2008 10:00:00,0.2000000,18.7999992,7.8000002,36.9000015,7.4000001,,,,,,S,,,,TH,8,HA,2,,,,,100
64,FKM08120104,0.6000000,24.756550000000001,-80.956083333333339,12/4/2008 10:20:00,0.2000000,18.6000004,7.8000002,37.2999992,8.0000000,0.6000000,18.6000004,7.8000002,37.4000015,8.0000000,S,,,,TH,7,HA,3,,,,,95
65,FKM08120105,0.4000000,24.749233333333333,-80.965383333333335,12/4/2008 10:43:00,0.2000000,19.0000000,7.9000001,37.4000015,8.6999998,,,,,,M,,,,TH,6,HA,4,,,,,100
66,FKM08120106,0.4000000,24.730650000000001,-80.998416666666671,12/4/2008 11:20:00,0.4000000,20.0000000,7.8000002,37.2000008,8.8000002,,,,,,S,M,,,HA,8,TH,2,,,,,100
67,FKM08120107,0.6000000,24.727650000000001,-81.004450000000006,12/4/2008 11:43:00,0.2000000,19.7000008,7.8000002,37.2000008,8.6999998,0.6000000,19.7000008,7.8000002,37.2000008,9.0000000,S,,,,HA,8,TH,2,,,,,100
68,FKM08120108,0.6000000,24.705349999999999,-81.073416666666660,12/4/2008 12:16:00,0.2000000,20.2999992,7.8000002,37.0999985,10.0000000,0.6000000,20.2999992,7.8000002,37.0999985,10.0000000,M,,,,HA,9,TH,1,,,,,100
69,FKM08120109,0.8000000,24.687883333333332,-81.095933333333335,12/4/2008 12:50:00,0.2000000,20.7000008,7.9000001,37.0999985,9.8000002,0.8000000,20.7000008,7.9000001,37.0999985,9.6000004,M,,,,TH,X,,,,,,,100
70,FKM08120110,0.7000000,24.687249999999999,-81.102966666666660,12/4/2008 13:12:00,0.2000000,21.1000004,7.9000001,37.0000000,9.3999996,0.7000000,21.1000004,7.9000001,37.0000000,9.3000002,S,M,,,TH,X,,,,,,,100
71,FKM09010101,0.8000000,24.715566666666668,-81.038250000000005,1/6/2009 9:10:00,0.8000000,23.1000004,7.8000002,36.7999992,7.4000001,0.2000000,23.1000004,7.9000001,36.9000015,7.3000002,M,,,,TH,8,AC,2,,,,,100
72,FKM09010102,0.7000000,24.715583333333335,-81.031266666666667,1/6/2009 9:44:00,0.7000000,23.3999996,8.0000000,36.9000015,8.1999998,0.2000000,23.3999996,8.0000000,37.0000000,8.1999998,M,,,,TH,X,,,,,,,95
73,FKM09010103,0.5000000,24.762016666666668,-80.946316666666661,1/6/2009 10:39:00,0.2000000,23.1000004,7.9000001,37.2000008,7.5000000,,,,,,S,,,,TH,X,,,,,,,100
74,FKM09010104,0.6000000,24.752116666666666,-80.962033333333338,1/6/2009 11:08:00,0.6000000,23.3999996,7.9000001,37.2999992,8.1000004,0.2000000,23.3999996,7.9000001,37.2000008,7.8000002,S,,,,HA,4,TH,3,SY,3,,,75
75,FKM09010105,0.8000000,24.748483333333333,-80.964016666666666,1/6/2009 11:44:00,0.4000000,24.6000004,7.9000001,37.0999985,8.3000002,0.2000000,24.5000000,8.0000000,37.2999992,8.1999998,S,,,,TH,8,AC,1,HA,1,,,100
76,FKM09010106,0.3000000,24.730333333333334,-80.999233333333336,1/6/2009 12:33:00,0.3000000,24.7999992,7.9000001,37.2000008,9.1999998,,,,,,S,,,,HA,7,TH,3,,,,,100
77,FKM09010107,0.4000000,24.727283333333332,-81.005433333333329,1/6/2008 12:59:00,0.2000000,24.8999996,8.0000000,37.2000008,10.6000004,,,,,,S,,,,SY,X,,,,,,,80
78,FKM09010108,0.3000000,24.701133333333335,-81.074399999999997,1/6/2009 13:32:00,0.2000000,24.5000000,7.8000002,37.0999985,9.1999998,,,,,,S,,,,TH,8,HA,2,,,,,100
79,FKM09010109,0.7000000,24.689250000000001,-81.099316666666667,1/6/2009 14:08:00,0.7000000,26.0000000,8.0000000,37.0999985,10.3999996,0.2000000,26.0000000,8.0000000,37.2000008,10.1000004,M,,,,TH,6,HA,4,,,,,100
80,FKM09010110,0.8000000,24.687550000000002,-81.101066666666668,1/6/2009 14:30:00,0.8000000,24.7999992,8.0000000,37.0999985,9.0000000,0.2000000,24.7999992,8.0000000,37.0999985,9.1000004,M,,,,TH,X,,,,,,,100
90,FKM06060109,0.7000000,24.748483333333333,-80.966383333333340,6/14/2006 14:40:00,0.7000000,31.7000008,7.5999999,39.2999992,11.3000002,0.2000000,31.7000008,7.5999999,39.2999992,11.3000002,S,,,,TH,X,,,,,,,80
91,FKM06060201,1.0000000,24.727316666666667,-81.004999999999995,6/15/2006 10:30:00,1.0000000,30.0000000,7.5999999,38.5000000,7.0000000,0.2000000,30.0000000,7.5999999,38.5000000,6.6999998,S,,,,TH,X,,,,,,,100
92,FKM06060202,0.6000000,24.730383333333332,-80.998900000000006,6/15/2006 11:05:00,0.6000000,30.7999992,7.5999999,38.5000000,8.0000000,0.2000000,30.8999996,7.5999999,38.5000000,6.5000000,S,,,,TH,4,HA,6,,,,,90
93,FKM06060203,0.6000000,24.731400000000001,-80.996116666666666,6/15/2006 11:42:00,0.6000000,31.1000004,7.4000001,38.5999985,8.5000000,0.2000000,31.1000004,7.4000001,38.5999985,8.1999998,S,,,,HA,5,AM,5,,,,,90
94,FKM06060204,0.5000000,24.732500000000002,-80.993783333333340,6/15/2006 12:24:00,0.5000000,31.6000004,7.4000001,38.5000000,9.3000002,,,,,,S,,,,HA,X,,,,,,,80
95,FKM06060205,1.0000000,24.736083333333333,-80.986050000000006,6/15/2006 13:05:00,1.0000000,32.2999992,7.5999999,39.0000000,12.1000004,0.2000000,32.0999985,7.6999998,39.0000000,11.3000002,M,,,,TH,X,,,,,,,100
96,FKM06060301,0.7000000,24.686233333333334,-81.105699999999999,6/19/2006 10:00:00,0.2000000,28.8999996,7.5000000,39.2999992,9.1000004,0.7000000,28.7000008,7.4000001,39.2999992,9.3000002,S,,,,TH,X,,,,,,,100
97,FKM06060302,0.7000000,24.686383333333332,-81.107083333333335,6/19/2006 10:45:00,0.2000000,29.7999992,7.5999999,38.7999992,9.1000004,0.7000000,30.0000000,7.5000000,37.7999992,9.8000002,S,,,,TH,X,,,,,,,100
98,FKM06060303,0.7000000,24.686199999999999,-81.104650000000007,6/19/2006 11:15:00,0.2000000,29.7000008,7.5000000,38.9000015,10.1000004,0.7000000,29.6000004,7.5000000,38.9000015,10.1999998,S,,,,TH,X,,,,,,,100
99,FKM06060304,0.7000000,24.686083333333332,-81.102816666666669,6/19/2006 11:45:00,0.2000000,30.2999992,7.5999999,38.7000008,10.0000000,0.7000000,30.2999992,7.5999999,38.7000008,10.3999996,S,,,,TH,X,,,,,,,100
100,FKM06060305,0.8000000,24.686399999999999,-81.100849999999994,6/19/2006 12:10:00,0.2000000,30.7999992,7.6999998,38.4000015,11.1000004,0.8000000,30.7999992,7.6999998,38.4000015,11.6000004,S,,,,TH,X,,,,,,,100
101,FKM06060306,0.8000000,24.687016666666665,-81.095483333333334,6/19/2006 13:00:00,0.2000000,31.3999996,7.8000002,38.2999992,11.5000000,0.8000000,31.3999996,7.6999998,38.2999992,12.1000004,S,,,,TH,X,,,,,,,100
102,FKM06060307,0.5000000,24.686350000000001,-81.092849999999999,6/19/2006 13:30:00,0.5000000,32.5999985,7.6999998,38.4000015,13.8000002,,,,,,S,,,,TH,X,,,,,,,100
103,FKM06060401,0.6000000,24.701266666666665,-81.075066666666672,6/27/2006 9:20:00,0.2000000,29.2000008,7.5999999,38.2000008,5.5000000,0.6000000,29.2999992,7.5999999,38.2999992,5.6999998,M,,,,TH,X,,,,,,,90
104,FKM06060402,0.6000000,24.704433333333334,-81.074266666666674,6/27/2006 9:50:00,0.2000000,28.2000008,7.5000000,38.5999985,5.3000002,0.6000000,28.2000008,7.5000000,38.5999985,5.3000002,M,,,,HA,8,TH,2,,,,,70
105,FKM06060403,0.6000000,24.707916666666666,-81.072316666666666,6/27/2006 10:30:00,0.2000000,29.3999996,7.5999999,38.2999992,8.1999998,0.6000000,29.3999996,7.5999999,38.2999992,8.3999996,M,,,,HA,8,TH,2,,,,,100
106,FKM06060404,0.5000000,24.701999999999998,-81.075333333333333,6/27/2006 11:00:00,0.5000000,29.5000000,7.5000000,38.2000008,7.1999998,,,,,,M,,,,HA,9,TH,1,,,,,70
107,FKM06060405,0.8000000,24.713683333333332,-81.027400000000000,6/27/2006 11:55:00,0.8000000,30.0000000,7.5000000,38.0999985,9.3999996,0.2000000,29.8999996,7.5000000,38.0999985,9.1999998,S,,,,TH,X,,,,,,,100
108,FKM06060406,0.6000000,24.713883333333332,-81.028533333333328,6/27/2006 12:22:00,0.2000000,30.2999992,7.6999998,38.0999985,9.8999996,0.6000000,30.2999992,7.5999999,38.0999985,10.1000004,S,,,,TH,9,HA,1,,,,,60
109,FKM06060407,0.6000000,24.715783333333334,-81.032483333333332,6/27/2006 12:50:00,0.2000000,30.6000004,7.5000000,38.0000000,11.6999998,0.6000000,30.6000004,7.5000000,38.0000000,11.8000002,M,,,,TH,X,,,,,,,100
110,FKM06060408,0.6000000,24.715816666666665,-81.035250000000005,6/27/2006 13:20:00,0.2000000,31.1000004,7.5999999,38.0000000,10.0000000,0.6000000,31.2000008,7.5999999,38.0000000,10.3999996,M,S,,,TH,5,AM,5,,,,,10
111,FKM06060409,0.6000000,24.714666666666666,-81.037416666666672,6/27/2006 14:00:00,0.2000000,31.3999996,7.5999999,38.0000000,9.6999998,0.6000000,31.3999996,7.5999999,38.0000000,10.1999998,M,S,,,TH,5,AM,5,,,,,90
112,FKM06070101,1.2000000,24.715483333333335,-81.030266666666662,7/13/2006 9:30:00,1.2000000,28.1000004,7.5000000,37.5999985,5.0999999,0.2000000,28.2000008,7.5999999,37.2000008,5.0999999,M,,,,TH,X,,,,,,,90
113,FKM06070102,1.0000000,24.716166666666666,-81.035316666666674,7/13/2006 10:06:00,0.2000000,28.6000004,7.5999999,37.5999985,5.3000002,1.0000000,28.6000004,7.5999999,37.5999985,5.5000000,S,,,,TH,8,HA,2,,,,,100
114,FKM06070103,0.7000000,24.702300000000001,-81.075000000000003,7/13/2006 11:00:00,0.7000000,28.0000000,7.5999999,37.5999985,6.0999999,0.2000000,28.0000000,7.5999999,37.5999985,5.4000001,M,,,,TH,5,HA,5,,,,,100
115,FKM06070104,0.8000000,24.688900000000000,-81.097333333333339,7/13/2006 11:40:00,0.2000000,28.1000004,7.5000000,36.9000015,6.3000002,0.8000000,28.2000008,7.5000000,36.9000015,5.5999999,M,,,,TH,X,,,,,,,100
116,FKM06070105,0.8000000,24.687866666666668,-81.102416666666670,7/13/2006 12:30:00,0.8000000,28.3999996,7.5000000,37.0999985,6.0000000,0.2000000,28.2000008,7.5000000,37.0999985,5.9000001,M,,,,TH,X,,,,,,,100
117,FKM06070106,0.7000000,24.747233333333334,-80.966983333333332,7/13/2006 13:25:00,0.2000000,28.2999992,7.5000000,37.0000000,6.1999998,0.7000000,28.2999992,7.5000000,37.0000000,6.0000000,M,,,,TH,X,,,,,,,100
118,FKM06070201,1.0000000,24.728249999999999,-81.003033333333335,7/14/2006 9:20:00,0.2000000,27.5000000,7.4000001,37.4000015,5.3000002,1.0000000,27.5000000,7.4000001,37.4000015,5.4000001,M,,,,TH,X,,,,,,,100
119,FKM06070202,0.6000000,24.730833333333333,-80.997900000000001,7/14/2006 9:40:00,0.2000000,28.0000000,7.4000001,37.7000008,5.4000001,0.6000000,28.0000000,7.4000001,37.7000008,5.5000000,S,,,,TH,6,AM,4,,,,,100
120,FKM06070203,0.7000000,24.761816666666668,-80.948566666666665,7/14/2006 10:30:00,0.2000000,28.1000004,7.5000000,37.0000000,6.5999999,0.7000000,28.1000004,7.5000000,36.9000015,6.6999998,M,,,,HA,8,AM,2,,,,,100
121,FKM06070204,0.7000000,24.756133333333334,-80.956599999999995,7/14/2006 11:10:00,0.2000000,28.2000008,7.5999999,36.7999992,6.9000001,0.7000000,28.2000008,7.5999999,36.7999992,7.0000000,S,,,,HA,5,TH,5,,,,,100
122,FKM06080101,0.6000000,24.760183333333334,-80.949333333333328,8/16/2006 9:11:00,0.6000000,30.2999992,7.5999999,37.4000015,5.6999998,0.2000000,30.2999992,7.5999999,37.4000015,5.6999998,S,,,,TH,X,,,,,,,80
123,FKM06080102,0.7000000,24.756733333333333,-80.955116666666669,8/16/2006 9:30:00,0.7000000,30.2999992,7.5000000,37.5000000,6.3000002,0.5000000,30.2999992,7.5000000,37.5000000,4.5999999,S,,,,TH,X,,,,,,,90
124,FKM06080103,0.5000000,24.715683333333335,-81.028333333333336,8/16/2006 10:10:00,0.5000000,31.3999996,7.6999998,37.0000000,11.3999996,,,,,,S,,,,TH,X,,,,,,,100
