OBJECTID,Survey,Spp_Name,Number_,Len1,Len2,Len3,Len4,Len5,Len6,Len7,Len8,Len9,Len10,Len11,Len12,Len13,Len14,Len15,Len16,Len17,Len18,Len19,Len20
60,FKM06060202,Strongylura notata,2,87,112,,,,,,,,,,,,,,,,,,
61,FKM06060202,Syngnathus floridae,1,148,,,,,,,,,,,,,,,,,,,
62,FKM06060202,Lutjanus apodus,8,35,37,32,49,34,23,28,34,,,,,,,,,,,,
63,FKM06060202,Syngnathus scovelli,4,93,97,88,86,,,,,,,,,,,,,,,,
64,FKM06060202,Atherinomorus stipes,3,21,27,26,,,,,,,,,,,,,,,,,
65,FKM06060202,Atherinomorus stipes,49,24,27,26,26,28,24,26,27,25,22,,,,,,,,,,
66,FKM06060202,Eucinostomus spp.,2,28,25,,,,,,,,,,,,,,,,,,
67,FKM06060202,Lutjanus griseus,1,26,,,,,,,,,,,,,,,,,,,
68,FKM06060202,Haemulon sciurus,7,35,35,42,41,32,18,28,,,,,,,,,,,,,
69,FKM06060202,Lutjanus analis,2,35,37,,,,,,,,,,,,,,,,,,
70,FKM06060202,Sparisoma chrysopterum,5,55,71,77,66,74,,,,,,,,,,,,,,,
71,FKM06060202,Haemulon parra,2,45,38,,,,,,,,,,,,,,,,,,
72,FKM06060204,Atherinomorus stipes,14,25,25,26,28,21,26,30,27,25,23,,,,,,,,,,
73,FKM06060204,Bathygobius soporator,1,51,,,,,,,,,,,,,,,,,,,
74,FKM06060204,Harengula jaguana,2,57,51,,,,,,,,,,,,,,,,,,
75,FKM06060204,Eucinostomus gula,3,42,53,44,,,,,,,,,,,,,,,,,
76,FKM06060204,Eucinostomus jonesii,3,51,47,43,,,,,,,,,,,,,,,,,
77,FKM06060204,Floridichthys carpio,5,25,21,17,18,17,,,,,,,,,,,,,,,
78,FKM06060204,Eucinostomus spp.,8,22,22,22,34,39,12,11,12,,,,,,,,,,,,
79,FKM06060204,Sphyraena barracuda,1,81,,,,,,,,,,,,,,,,,,,
80,FKM06060204,Ctenogobius saepepallens,2,26,45,,,,,,,,,,,,,,,,,,
81,FKM06060204,Sphoeroides nephelus,1,44,,,,,,,,,,,,,,,,,,,
82,FKM06060204,Haemulon parra,1,26,,,,,,,,,,,,,,,,,,,
83,FKM06060204,Lucania parva,1,17,,,,,,,,,,,,,,,,,,,
84,FKM06060204,Lagodon rhomboides,1,22,,,,,,,,,,,,,,,,,,,
85,FKM06060204,Farfantepenaeus spp.,1,6,,,,,,,,,,,,,,,,,,,
86,FKM06060204,Lutjanus griseus,1,24,,,,,,,,,,,,,,,,,,,
87,FKM06060205,Eucinostomus gula,7,65,42,71,45,42,42,43,,,,,,,,,,,,,
88,FKM06060205,Acanthurus coeruleus,1,46,,,,,,,,,,,,,,,,,,,
89,FKM06060205,Strongylura notata,3,130,81,118,,,,,,,,,,,,,,,,,
90,FKM06060205,Farfantepenaeus spp.,1,13,,,,,,,,,,,,,,,,,,,
91,FKM06060205,Eucinostomus spp.,2,12,24,,,,,,,,,,,,,,,,,,
92,FKM06060205,Sphyraena barracuda,2,85,76,,,,,,,,,,,,,,,,,,
93,FKM06060205,Haemulon sciurus,30,21,24,20,38,30,35,30,30,35,30,,,,,,,,,,
94,FKM06060205,Atherinomorus stipes,3,28,13,25,,,,,,,,,,,,,,,,,
95,FKM06060205,Scarus spp.,1,20,,,,,,,,,,,,,,,,,,,
96,FKM06060205,Atherinomorus stipes,3,28,13,25,,,,,,,,,,,,,,,,,
97,FKM06060205,Haemulon plumierii,22,44,26,46,40,45,43,34,34,30,32,,,,,,,,,,
98,FKM06060205,Haemulon parra,4,25,26,17,47,,,,,,,,,,,,,,,,
99,FKM06060205,Lagodon rhomboides,4,31,85,70,75,,,,,,,,,,,,,,,,
100,FKM06060205,Sparisoma chrysopterum,2,35,83,,,,,,,,,,,,,,,,,,
101,FKM06060205,Aluterus scriptus,1,24,,,,,,,,,,,,,,,,,,,
102,FKM06060301,Haemulon sciurus,32,28,31,37,26,26,27,22,35,31,29,,,,,,,,,,
103,FKM06060301,Sphyraena barracuda,1,117,,,,,,,,,,,,,,,,,,,
104,FKM06060301,Opsanus beta,1,139,,,,,,,,,,,,,,,,,,,
105,FKM06060301,Sparisoma chrysopterum,4,48,45,34,37,,,,,,,,,,,,,,,,
106,FKM06060301,Sparisoma viride,2,31,29,,,,,,,,,,,,,,,,,,
107,FKM06060301,Abudefduf saxatilis,1,18,,,,,,,,,,,,,,,,,,,
108,FKM06060301,Syngnathus scovelli,1,82,,,,,,,,,,,,,,,,,,,
109,FKM06060302,Sphyraena barracuda,3,95,130,109,,,,,,,,,,,,,,,,,
110,FKM06060302,Aluterus scriptus,1,71,,,,,,,,,,,,,,,,,,,
111,FKM06060302,Haemulon sciurus,26,28,31,34,27,34,33,34,33,31,28,,,,,,,,,,
112,FKM06060302,Calamus spp.,1,91,,,,,,,,,,,,,,,,,,,
113,FKM06060302,Strongylura notata,1,80,,,,,,,,,,,,,,,,,,,
114,FKM06060302,Sphoeroides spengleri,2,70,63,,,,,,,,,,,,,,,,,,
115,FKM06060302,Halichoeres bivittatus,1,46,,,,,,,,,,,,,,,,,,,
116,FKM06060302,Hippocampus erectus,1,26,,,,,,,,,,,,,,,,,,,
117,FKM06060302,Acanthurus chirurgus,1,30,,,,,,,,,,,,,,,,,,,
118,FKM06060302,Sparisoma chrysopterum,4,61,30,46,28,,,,,,,,,,,,,,,,
119,FKM06060303,Sphyraena barracuda,1,135,,,,,,,,,,,,,,,,,,,
120,FKM06060303,Syngnathus floridae,1,135,,,,,,,,,,,,,,,,,,,
121,FKM06060303,Syngnathus scovelli,1,112,,,,,,,,,,,,,,,,,,,
122,FKM06060303,Stephanolepis hispidus,2,35,46,,,,,,,,,,,,,,,,,,
123,FKM06060303,Lactophrys trigonus,1,28,,,,,,,,,,,,,,,,,,,
124,FKM06060303,Haemulon sciurus,23,30,29,33,33,27,30,20,35,19,24,,,,,,,,,,
125,FKM06060303,Sparisoma chrysopterum,2,65,41,,,,,,,,,,,,,,,,,,
126,FKM06060303,Haemulon plumierii,3,31,30,32,,,,,,,,,,,,,,,,,
127,FKM06060303,Eucinostomus spp.,1,18,,,,,,,,,,,,,,,,,,,
128,FKM06060304,Haemulon sciurus,33,32,35,31,32,31,30,37,32,30,34,,,,,,,,,,
129,FKM06060304,Acanthostracion quadricornis,1,135,,,,,,,,,,,,,,,,,,,
130,FKM06060304,Sphyraena barracuda,2,69,80,,,,,,,,,,,,,,,,,,
131,FKM06060304,Haemulon plumierii,17,31,32,30,28,40,29,32,46,32,30,,,,,,,,,,
132,FKM06060304,Syngnathus floridae,2,135,150,,,,,,,,,,,,,,,,,,
133,FKM06060304,Strongylura notata,2,121,78,,,,,,,,,,,,,,,,,,
134,FKM06060304,Scarus taeniopterus,2,50,44,,,,,,,,,,,,,,,,,,
135,FKM06060304,Eucinostomus spp.,1,10,,,,,,,,,,,,,,,,,,,
136,FKM06060304,Sparisoma chrysopterum,1,34,,,,,,,,,,,,,,,,,,,
137,FKM06060304,Monacanthus ciliatus,2,41,19,,,,,,,,,,,,,,,,,,
138,FKM06060305,Lagodon rhomboides,2,68,71,,,,,,,,,,,,,,,,,,
139,FKM06060305,Sphoeroides spengleri,1,63,,,,,,,,,,,,,,,,,,,
140,FKM06060305,Haemulon plumierii,41,50,31,30,36,32,48,35,31,38,29,,,,,,,,,,
141,FKM06060305,Haemulon sciurus,9,32,26,26,20,24,21,28,27,24,,,,,,,,,,,
142,FKM06060305,Hippocampus erectus,1,26,,,,,,,,,,,,,,,,,,,
143,FKM06060305,Lachnolaimus maximus,2,59,43,,,,,,,,,,,,,,,,,,
144,FKM06060305,Eucinostomus gula,2,79,70,,,,,,,,,,,,,,,,,,
145,FKM06060305,Sparisoma chrysopterum,6,38,49,47,38,48,21,,,,,,,,,,,,,,
146,FKM06060305,Eucinostomus spp.,3,9,8,14,,,,,,,,,,,,,,,,,
147,FKM06060305,Strongylura notata,3,51,88,114,,,,,,,,,,,,,,,,,
148,FKM06060305,Opsanus beta,1,103,,,,,,,,,,,,,,,,,,,
149,FKM06060305,Syngnathus floridae,1,116,,,,,,,,,,,,,,,,,,,
150,FKM06060305,Ocyurus chrysurus,1,20,,,,,,,,,,,,,,,,,,,
151,FKM06060305,Scarus taeniopterus,2,42,26,,,,,,,,,,,,,,,,,,
152,FKM06060305,Archosargus rhomboidalis,1,33,,,,,,,,,,,,,,,,,,,
153,FKM06060305,Haemulon spp.,3,12,17,18,,,,,,,,,,,,,,,,,
154,FKM06060305,Scarus spp.,1,17,,,,,,,,,,,,,,,,,,,
155,FKM06060306,Monacanthus ciliatus,3,48,24,16,,,,,,,,,,,,,,,,,
156,FKM06060306,Sphoeroides spengleri,1,68,,,,,,,,,,,,,,,,,,,
157,FKM06060306,Strongylura notata,5,121,145,141,57,60,,,,,,,,,,,,,,,
158,FKM06060306,Haemulon plumierii,35,30,48,38,32,31,30,46,48,32,30,,,,,,,,,,
159,FKM06060306,Opsanus beta,1,98,,,,,,,,,,,,,,,,,,,
160,FKM06060306,Haemulon sciurus,3,25,25,20,,,,,,,,,,,,,,,,,
161,FKM06060306,Haemulon spp.,1,17,,,,,,,,,,,,,,,,,,,
162,FKM06060306,Eucinostomus spp.,1,14,,,,,,,,,,,,,,,,,,,
163,FKM06060307,Strongylura notata,4,97,84,89,66,,,,,,,,,,,,,,,,
164,FKM06060307,Stephanolepis hispidus,1,38,,,,,,,,,,,,,,,,,,,
165,FKM06060307,Syngnathus scovelli,7,113,95,129,122,92,105,124,,,,,,,,,,,,,
166,FKM06060307,Syngnathus floridae,1,165,,,,,,,,,,,,,,,,,,,
167,FKM06060307,Sparisoma viride,2,52,45,,,,,,,,,,,,,,,,,,
168,FKM06060307,Haemulon plumierii,3,32,32,30,,,,,,,,,,,,,,,,,
169,FKM06060307,Eucinostomus spp.,4,11,11,15,10,,,,,,,,,,,,,,,,
170,FKM06060401,Floridichthys carpio,199,33,38,29,27,28,16,41,34,26,19,,,,,,,,,,
171,FKM06060401,Lucania parva,16,36,28,32,20,20,30,18,32,26,32,,,,,,,,,,
172,FKM06060401,Stephanolepis hispidus,1,12,,,,,,,,,,,,,,,,,,,
173,FKM06060401,Strongylura notata,1,80,,,,,,,,,,,,,,,,,,,
174,FKM06060401,Ctenogobius saepepallens,4,26,37,37,21,,,,,,,,,,,,,,,,
175,FKM06060401,Eucinostomus spp.,3,12,30,9,,,,,,,,,,,,,,,,,
176,FKM06060401,Lagodon rhomboides,15,25,50,57,71,53,65,56,65,66,61,,,,,,,,,,
177,FKM06060401,Bathygobius soporator,4,75,37,30,65,,,,,,,,,,,,,,,,
178,FKM06060401,Lutjanus griseus,1,16,,,,,,,,,,,,,,,,,,,
179,FKM06060401,Callinectes sapidus,2,100,65,,,,,,,,,,,,,,,,,,
180,FKM06060401,Haemulon parra,2,56,50,,,,,,,,,,,,,,,,,,
181,FKM06060401,Ctenogobius boleosoma,1,37,,,,,,,,,,,,,,,,,,,
182,FKM06060401,Eucinostomus gula,1,57,,,,,,,,,,,,,,,,,,,
183,FKM06060402,Floridichthys carpio,305,43,32,45,20,35,26,30,30,31,29,,,,,,,,,,
184,FKM06060402,Lucania parva,113,27,24,25,24,24,24,22,23,24,23,,,,,,,,,,
185,FKM06060402,Caranx hippos,1,18,,,,,,,,,,,,,,,,,,,
186,FKM06060402,Farfantepenaeus spp.,6,8,10,12,10,14,9,,,,,,,,,,,,,,
187,FKM06060402,Eucinostomus spp.,1,18,,,,,,,,,,,,,,,,,,,
188,FKM06060402,Lagodon rhomboides,9,57,60,52,60,71,67,50,65,54,,,,,,,,,,,
189,FKM06060402,Callinectes sapidus,1,76,,,,,,,,,,,,,,,,,,,
190,FKM06060403,Eucinostomus gula,4,61,65,65,66,,,,,,,,,,,,,,,,
191,FKM06060403,Floridichthys carpio,606,16,15,14,31,17,21,14,25,11,12,,,,,,,,,,
192,FKM06060403,Lucania parva,112,16,25,18,19,14,17,18,16,17,15,,,,,,,,,,
193,FKM06060403,Farfantepenaeus spp.,11,11,13,10,10,12,9,10,9,10,7,,,,,,,,,,
194,FKM06060403,Monacanthus ciliatus,1,13,,,,,,,,,,,,,,,,,,,
195,FKM06060403,Sphyraena barracuda,4,121,115,74,102,,,,,,,,,,,,,,,,
196,FKM06060403,Eucinostomus harengulus,3,62,66,56,,,,,,,,,,,,,,,,,
197,FKM06060404,Floridichthys carpio,388,20,14,20,24,16,20,27,23,17,15,,,,,,,,,,
198,FKM06060404,Lucania parva,128,21,16,18,16,17,15,23,18,23,18,,,,,,,,,,
199,FKM06060104,Sphoeroides nephelus,1,75,,,,,,,,,,,,,,,,,,,
200,FKM06060104,Bathygobius soporator,1,40,,,,,,,,,,,,,,,,,,,
201,FKM06060104,Floridichthys carpio,6,21,22,28,18,25,37,,,,,,,,,,,,,,
202,FKM06060104,Lutjanus apodus,1,83,,,,,,,,,,,,,,,,,,,
203,FKM06060104,Strongylura notata,1,68,,,,,,,,,,,,,,,,,,,
204,FKM06060104,Eucinostomus spp.,4,21,17,27,13,,,,,,,,,,,,,,,,
205,FKM06060104,Syngnathus louisianae,1,174,,,,,,,,,,,,,,,,,,,
206,FKM06060105,Callinectes sapidus,1,145,,,,,,,,,,,,,,,,,,,
207,FKM06060105,Strongylura notata,1,95,,,,,,,,,,,,,,,,,,,
208,FKM06060105,Lucania parva,10,15,20,21,19,17,21,19,20,16,17,,,,,,,,,,
209,FKM06060105,Eucinostomus spp.,1,37,,,,,,,,,,,,,,,,,,,
210,FKM06060105,Floridichthys carpio,156,24,17,20,21,22,16,17,18,19,20,,,,,,,,,,
211,FKM06060105,Syngnathus scovelli,1,85,,,,,,,,,,,,,,,,,,,
212,FKM06060105,Lutjanus analis,2,35,32,,,,,,,,,,,,,,,,,,
213,FKM06060105,Sphyraena barracuda,1,37,,,,,,,,,,,,,,,,,,,
214,FKM06060105,Eucinostomus harengulus,2,44,41,,,,,,,,,,,,,,,,,,
215,FKM06060105,Ctenogobius saepepallens,1,31,,,,,,,,,,,,,,,,,,,
216,FKM06060105,Farfantepenaeus spp.,1,13,,,,,,,,,,,,,,,,,,,
217,FKM06060105,Lutjanus griseus,2,19,17,,,,,,,,,,,,,,,,,,
218,FKM06060106,Harengula jaguana,11,34,41,46,40,35,38,37,35,36,36,,,,,,,,,,
219,FKM06060106,Lactophrys trigonus,5,32,35,30,21,42,,,,,,,,,,,,,,,
220,FKM06060106,Abudefduf saxatilis,5,21,21,15,21,14,,,,,,,,,,,,,,,
221,FKM06060106,Lagodon rhomboides,26,41,31,32,57,37,41,34,40,31,41,,,,,,,,,,
222,FKM06060106,Syngnathus scovelli,3,92,64,128,,,,,,,,,,,,,,,,,
223,FKM06060106,Haemulon plumierii,5,25,41,41,40,35,,,,,,,,,,,,,,,
224,FKM06060106,Bathygobius soporator,4,42,44,46,46,,,,,,,,,,,,,,,,
225,FKM06060106,Haemulon sciurus,41,31,35,27,41,34,35,33,31,28,31,,,,,,,,,,
226,FKM06060106,Haemulon flavolineatum,2,28,20,,,,,,,,,,,,,,,,,,
227,FKM06060106,Nicholsina usta,1,34,,,,,,,,,,,,,,,,,,,
228,FKM06060106,Floridichthys carpio,1,15,,,,,,,,,,,,,,,,,,,
229,FKM06060106,Hippocampus erectus,1,46,,,,,,,,,,,,,,,,,,,
230,FKM06060106,Lutjanus analis,1,31,,,,,,,,,,,,,,,,,,,
231,FKM06060106,Lucania parva,1,21,,,,,,,,,,,,,,,,,,,
232,FKM06060404,Eucinostomus spp.,2,24,22,,,,,,,,,,,,,,,,,,
233,FKM06060404,Farfantepenaeus spp.,5,8,6,8,7,6,,,,,,,,,,,,,,,
234,FKM06060404,Sphyraena barracuda,1,90,,,,,,,,,,,,,,,,,,,
235,FKM06060404,Bathygobius soporator,1,41,,,,,,,,,,,,,,,,,,,
236,FKM06060406,Eucinostomus spp.,53,9,31,14,13,16,18,20,22,16,15,,,,,,,,,,
237,FKM06060406,Ctenogobius saepepallens,1,31,,,,,,,,,,,,,,,,,,,
238,FKM06060406,Acanthostracion quadricornis,1,148,,,,,,,,,,,,,,,,,,,
239,FKM06060406,Strongylura notata,3,93,85,87,,,,,,,,,,,,,,,,,
240,FKM06060406,Eucinostomus harengulus,6,61,52,49,47,41,42,,,,,,,,,,,,,,
241,FKM06060406,Atherinomorus stipes,1,27,,,,,,,,,,,,,,,,,,,
242,FKM06060407,Urobatis jamaicensis,1,120,,,,,,,,,,,,,,,,,,,
243,FKM06060407,Acanthostracion quadricornis,1,80,,,,,,,,,,,,,,,,,,,
244,FKM06060407,Abudefduf saxatilis,3,25,26,19,,,,,,,,,,,,,,,,,
245,FKM06060407,Syngnathus floridae,3,185,170,130,,,,,,,,,,,,,,,,,
246,FKM06060407,Eucinostomus spp.,49,32,30,26,32,15,10,19,17,15,15,,,,,,,,,,
247,FKM06060407,Scarus taeniopterus,4,31,32,25,41,,,,,,,,,,,,,,,,
248,FKM06060407,Hippocampus zosterae,1,30,,,,,,,,,,,,,,,,,,,
249,FKM06060407,Ctenogobius saepepallens,1,29,,,,,,,,,,,,,,,,,,,
250,FKM06060407,Lagodon rhomboides,5,72,60,70,68,67,,,,,,,,,,,,,,,
251,FKM06060407,Eucinostomus gula,3,53,48,43,,,,,,,,,,,,,,,,,
252,FKM06060407,Haemulon sciurus,22,41,33,36,41,50,51,47,35,44,50,,,,,,,,,,
253,FKM06060407,Haemulon plumierii,54,50,37,37,36,40,37,30,35,25,25,,,,,,,,,,
254,FKM06060407,Malacoctenus macropus,1,40,,,,,,,,,,,,,,,,,,,
255,FKM06060407,Sphyraena barracuda,1,88,,,,,,,,,,,,,,,,,,,
256,FKM06060407,Sparisoma chrysopterum,2,59,28,,,,,,,,,,,,,,,,,,
257,FKM06060407,Haemulon flavolineatum,2,37,26,,,,,,,,,,,,,,,,,,
258,FKM06060407,Scorpaena brasiliensis,1,72,,,,,,,,,,,,,,,,,,,
259,FKM06060407,Haemulon parra,3,36,21,33,,,,,,,,,,,,,,,,,
260,FKM06060407,Archosargus rhomboidalis,1,27,,,,,,,,,,,,,,,,,,,
261,FKM06060408,Syngnathus scovelli,3,95,110,100,,,,,,,,,,,,,,,,,
262,FKM06060408,Lactophrys trigonus,1,40,,,,,,,,,,,,,,,,,,,
263,FKM06060408,Bathygobius soporator,1,40,,,,,,,,,,,,,,,,,,,
264,FKM06060408,Eucinostomus spp.,79,22,20,17,16,15,15,14,13,20,15,,,,,,,,,,
265,FKM06060408,Ocyurus chrysurus,1,30,,,,,,,,,,,,,,,,,,,
266,FKM06060408,Hippocampus zosterae,1,25,,,,,,,,,,,,,,,,,,,
267,FKM06060408,Ctenogobius saepepallens,1,27,,,,,,,,,,,,,,,,,,,
268,FKM06060409,Chilomycterus schoepfii,1,105,,,,,,,,,,,,,,,,,,,
269,FKM06060409,Acanthostracion quadricornis,1,110,,,,,,,,,,,,,,,,,,,
270,FKM06060409,Strongylura notata,1,82,,,,,,,,,,,,,,,,,,,
271,FKM06060409,Eucinostomus spp.,73,22,21,21,19,18,18,16,15,14,17,,,,,,,,,,
272,FKM06060409,Monacanthus ciliatus,3,47,26,16,,,,,,,,,,,,,,,,,
273,FKM06060409,Sphyraena barracuda,2,55,71,,,,,,,,,,,,,,,,,,
274,FKM06060409,Lutjanus synagris,4,27,13,13,32,,,,,,,,,,,,,,,,
275,FKM06060409,Eucinostomus lefroyi,1,44,,,,,,,,,,,,,,,,,,,
276,FKM06060409,Lagodon rhomboides,1,91,,,,,,,,,,,,,,,,,,,
277,FKM06060409,Lutjanus analis,1,48,,,,,,,,,,,,,,,,,,,
278,FKM06060409,Haemulon plumierii,3,35,40,26,,,,,,,,,,,,,,,,,
279,FKM06060409,Haemulon sciurus,9,25,25,21,25,29,21,25,24,29,,,,,,,,,,,
280,FKM06060409,Haemulon parra,1,24,,,,,,,,,,,,,,,,,,,
281,FKM06060203,Atherinomorus stipes,54,36,28,21,26,27,24,23,31,27,24,,,,,,,,,,
282,FKM06060203,Eucinostomus spp.,2,18,16,,,,,,,,,,,,,,,,,,
283,FKM06060203,Lutjanus analis,1,42,,,,,,,,,,,,,,,,,,,
284,FKM06060203,Lutjanus apodus,1,35,,,,,,,,,,,,,,,,,,,
285,FKM06070101,Acanthostracion quadricornis,1,120,,,,,,,,,,,,,,,,,,,
286,FKM06070101,Sphyraena barracuda,1,50,,,,,,,,,,,,,,,,,,,
287,FKM06070101,Monacanthus ciliatus,1,42,,,,,,,,,,,,,,,,,,,
288,FKM06070101,Ocyurus chrysurus,1,23,,,,,,,,,,,,,,,,,,,
289,FKM06070101,Haemulon plumierii,95,40,29,30,29,45,37,32,33,39,55,,,,,,,,,,
290,FKM06070101,Haemulon sciurus,15,20,32,35,40,25,25,26,32,29,37,,,,,,,,,,
291,FKM06070101,Hippocampus erectus,1,22,,,,,,,,,,,,,,,,,,,
292,FKM06070101,Scarus taeniopterus,11,55,28,53,52,50,41,30,22,52,29,,,,,,,,,,
293,FKM06070101,Eucinostomus spp.,75,38,39,39,32,33,28,25,27,23,27,,,,,,,,,,
294,FKM06070101,Eucinostomus gula,2,42,50,,,,,,,,,,,,,,,,,,
295,FKM06070101,Abudefduf saxatilis,2,33,34,,,,,,,,,,,,,,,,,,
296,FKM06070101,Syngnathus floridae,1,115,,,,,,,,,,,,,,,,,,,
297,FKM06070101,Lagodon rhomboides,9,37,66,62,79,71,75,62,85,55,,,,,,,,,,,
298,FKM06070101,Haemulon flavolineatum,3,32,39,30,,,,,,,,,,,,,,,,,
299,FKM06070101,Lutjanus synagris,2,22,25,,,,,,,,,,,,,,,,,,
300,FKM06070101,Strongylura notata,1,117,,,,,,,,,,,,,,,,,,,
301,FKM06070101,Lutjanus griseus,2,102,93,,,,,,,,,,,,,,,,,,
302,FKM06070101,Scarus iseri,2,45,30,,,,,,,,,,,,,,,,,,
303,FKM06070102,Sparisoma chrysopterum,1,55,,,,,,,,,,,,,,,,,,,
304,FKM06070102,Sphyraena barracuda,2,47,53,,,,,,,,,,,,,,,,,,
305,FKM06070102,Lutjanus synagris,11,23,17,29,20,28,25,27,29,31,21,16,,,,,,,,,
306,FKM06070102,Eucinostomus spp.,59,27,27,20,23,18,18,20,17,22,17,,,,,,,,,,
